META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 20:20:15 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 10/13; 10/11; ; 10/13; 17/20; ; ; ; ; ; ; 
Draw; 11/4; ; 5/2; ; ; ; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 14/5; 27/10; 5/2; ; 27/10; 14/5; ; ; ; ; ; ; 
Sevilla; 7/2; ; 3; ; ; ; 17/5; ; ; 16/5; 3; ; 10/3; ; ; 7/2; 13/4; 14/5; ; 13/4; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 00:18:55 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 10/11; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Draw; 11/4; ; 5/2; ; ; ; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 11/4; 27/10; 5/2; ; 27/10; 14/5; ; ; ; ; 13/8; ; 
Sevilla; 7/2; ; 3; ; ; ; 17/5; ; ; 10/3; 16/5; ; 10/3; ; ; 7/2; 33/10; 14/5; ; 33/10; 15/4; ; ; ; ; 13/8; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 04:18:57 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 11/13; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Draw; 11/4; ; 5/2; ; ; ; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 11/4; 27/10; 45/17; ; 27/10; 14/5; ; ; ; ; 13/8; ; 
Sevilla; 7/2; ; 3; ; ; ; 17/5; ; ; 10/3; 16/5; ; 10/3; ; ; 7/2; 33/10; 29/10; ; 33/10; 15/4; ; ; ; ; 13/8; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 08:18:57 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 17/20; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 11/13; ; 14/19; 17/20; ; ; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 14/5; 27/10; 45/17; ; 27/10; 14/5; ; ; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 10/3; ; ; 10/3; 16/5; ; 10/3; ; ; 7/2; 33/10; 29/10; ; 33/10; 15/4; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 12:19:22 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 17/20; 4/5; ; ; 4/5; 4/5; 5/6; 4/5; ; ; 4/5; 14/19; 11/13; ; 14/19; 17/20; ; ; ; ; 4/7; ; 
