META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-26 16:21:36 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; ; 2/5; 2/5; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; 6/17; ; ; 11/25; ; ; ; ; ; ; 
Draw; ; 10/3; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; 7/2; ; ; 39/10; ; ; ; ; ; ; 
Valencia; ; 7; 7; ; ; ; ; ; 15/2; ; ; ; ; ; ; ; ; 8; ; ; 38/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-26 20:20:31 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; ; 2/5; 2/5; ; ; ; 2/5; ; 2/5; 2/5; 2/5; ; 4/11; ; ; 2/5; 3/8; 6/17; 2/5; 3/8; 11/25; ; 2/5; ; ; ; ; 
Draw; ; 10/3; 17/5; ; ; ; 7/2; ; 7/2; 7/2; 13/4; ; 10/3; ; ; 7/2; 7/2; 7/2; 7/2; 7/2; 39/10; ; 7/2; ; ; ; ; 
Valencia; ; 7; 15/2; ; ; ; 8; ; 7; 7; 7; ; 17/2; ; ; 15/2; 13/2; 8; 7; 13/2; 38/5; ; 7; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-27 00:18:46 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/11; 2/5; 4/9; ; 2/5; ; 2/5; ; 2/5; 2/5; 2/5; ; 4/11; ; ; 2/5; 7/18; 2/5; 2/5; 7/18; 11/25; ; 2/5; ; ; ; ; 
Draw; 15/4; 10/3; 17/5; ; 19/5; ; 15/4; ; 7/2; 10/3; 13/4; ; 7/2; ; ; 4; 38/11; 17/5; 7/2; 38/11; 39/10; ; 7/2; ; ; ; ; 
Valencia; 15/2; 7; 7; ; 15/2; ; 7; ; 13/2; 15/2; 13/2; ; 8; ; ; 7; 13/2; 27/4; 7; 13/2; 38/5; ; 7; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-27 04:18:44 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/11; 2/5; 4/9; ; 2/5; ; 2/5; ; 2/5; 2/5; 2/5; ; 4/11; ; ; 2/5; 7/18; 2/5; 2/5; 7/18; 11/25; ; 2/5; ; ; ; ; 
Draw; 15/4; 10/3; 17/5; ; 19/5; ; 15/4; ; 7/2; 10/3; 13/4; ; 7/2; ; ; 4; 38/11; 17/5; 7/2; 38/11; 39/10; ; 7/2; ; ; ; ; 
Valencia; 15/2; 7; 7; ; 15/2; ; 7; ; 13/2; 15/2; 13/2; ; 8; ; ; 7; 13/2; 27/4; 7; 13/2; 38/5; ; 7; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-27 08:18:53 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/11; 2/5; 4/9; ; 2/5; 17/40; 2/5; ; 2/5; 2/5; 2/5; ; 4/11; ; ; 2/5; 4/11; 2/5; 2/5; 4/11; 11/25; ; 2/5; ; ; ; ; 
Draw; 15/4; 10/3; 17/5; ; 19/5; 19/5; 15/4; ; 7/2; 10/3; 13/4; ; 7/2; ; ; 7/2; 39/11; 17/5; 7/2; 39/11; 39/10; ; 7/2; ; ; ; ; 
Valencia; 15/2; 7; 7; ; 15/2; 7; 7; ; 13/2; 15/2; 13/2; ; 8; ; ; 15/2; 29/4; 27/4; 7; 29/4; 38/5; ; 7; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-27 12:19:17 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/11; 2/5; 4/9; 4/9; 2/5; 17/40; 2/5; 2/5; 2/5; 2/5; 2/5; ; 4/11; ; 4/9; 2/5; 4/11; 2/5; 2/5; 4/11; 11/25; ; 2/5; ; ; 4/11; 4/11; 
Draw; 15/4; 10/3; 17/5; 10/3; 19/5; 19/5; 15/4; 7/2; 7/2; 10/3; 13/4; ; 7/2; ; 7/2; 4; 7/2; 17/5; 7/2; 7/2; 39/10; ; 7/2; ; ; 3; 3; 
Valencia; 15/2; 7; 7; 13/2; 15/2; 7; 7; 7; 13/2; 15/2; 13/2; ; 8; ; 13/2; 7; 7; 27/4; 7; 7; 38/5; ; 7; ; ; 11/2; 27/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-27 16:20:41 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 2/5; 4/9; 4/9; 2/5; 17/40; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 4/9; 7/19; 2/5; 2/5; 7/19; 11/25; 7/17; 2/5; ; ; 4/11; 2/5; 
Draw; 7/2; 7/2; 7/2; 10/3; 18/5; 19/5; 15/4; 7/2; 7/2; 10/3; 10/3; 7/2; 15/4; ; 7/2; 7/2; 39/11; 17/5; 7/2; 39/11; 39/10; 39/11; 7/2; ; ; 7/2; 7/2; 
Valencia; 7; 7; 13/2; 13/2; 15/2; 13/2; 7; 7; 13/2; 7; 13/2; 13/2; 15/2; ; 13/2; 7; 7; 27/4; 7; 7; 38/5; 57/10; 7; ; ; 37/5; 15/2; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-27 20:19:42 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 3/8; 2/5; 2/5; 3/8; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 7/2; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 38/11; 17/5; 7/2; 38/11; 39/10; 39/11; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 13/2; 13/2; 27/4; 7; 13/2; 38/5; 57/10; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-28 00:18:45 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 7/18; 2/5; 2/5; 7/18; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
