META; spain/la-liga-primera/atletico-madrid-v-villarreal; 2017-04-18 14:20:20 GMT+3; 2017-04-25 20:30; e70300-dr003
Atletico Madrid; 4/9; ; ; ; 9/20; 12/25; 4/9; ; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 7/17; 5/11; 4/9; 7/17; 47/100; 5/11; 5/11; ; 5/11; ; 2/5; ; 
Draw; 16/5; ; ; ; 10/3; 10/3; 33/10; ; 3; 3; 29/10; 3; 16/5; 16/5; 16/5; 10/3; 16/5; 13/4; 3; 16/5; 71/20; 16/5; 13/4; ; 13/4; ; 14/5; ; 
Villarreal; 13/2; ; ; ; 7; 13/2; 7; ; 13/2; 7; 13/2; 7; 13/2; 7; 7; 7; 27/4; 6; 13/2; 27/4; 79/10; 57/10; 13/2; ; 13/2; ; 31/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-villarreal; 2017-04-19 16:48:01 GMT+3; 2017-04-25 20:30; e70300-dr003
Atletico Madrid; 4/9; ; 40/85; 4/9; 9/20; 12/25; 4/9; ; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 5/12; 5/11; 4/9; 5/12; 47/100; 5/11; 5/11; ; 5/11; ; 4/9; ; 
Draw; 16/5; ; 31/10; 16/5; 10/3; 10/3; 33/10; ; 3; 3; 29/10; 3; 16/5; 16/5; 16/5; 10/3; 41/13; 13/4; 3; 41/13; 71/20; 16/5; 13/4; ; 13/4; ; 3; ; 
Villarreal; 13/2; ; 13/2; 13/2; 7; 13/2; 7; ; 13/2; 7; 13/2; 13/2; 13/2; 7; 7; 7; 13/2; 6; 13/2; 13/2; 39/5; 57/10; 13/2; ; 13/2; ; 33/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-villarreal; 2017-04-24 10:15:37 GMT+3; 2017-04-25 20:30; e70300-dr003
Atletico Madrid; 4/9; 4/9; 40/85; 4/9; 9/20; 12/25; 1/2; 4/11; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 5/11; 5/11; 4/9; 5/11; ; 4/9; ; 4/11
Draw; 16/5; 16/5; 31/10; 16/5; 16/5; 10/3; 16/5; 3; 3; 3; 16/5; 3; 16/5; 16/5; 16/5; 10/3; 13/4; 13/4; 3; 13/4; 7/2; 16/5; 13/4; 16/5; 13/4; ; 3; ; 12/5
Villarreal; 15/2; 7; 7; 13/2; 15/2; 13/2; 15/2; 7; 13/2; 7; 7; 7; 13/2; 8; 7; 15/2; 29/4; 6; 7; 29/4; 39/5; 57/10; 7; 15/2; 7; ; 37/5; ; 7/2
META; spain/la-liga-primera/atletico-madrid-v-villarreal; 2017-04-24 17:25:13 GMT+3; 2017-04-25 20:30; e70300-dr003
Atletico Madrid; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 9/20; 4/11; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 5/11; 4/9; 5/11; ; 4/9; 4/9; 1/2
Draw; 16/5; 3; 16/5; 3; 16/5; 10/3; 33/10; 3; 3; 10/3; 16/5; 3; 16/5; 16/5; 16/5; 16/5; 13/4; 13/4; 3; 13/4; 69/20; 33/10; 13/4; 16/5; 13/4; ; 3; 3; 10/3
Villarreal; 15/2; 7; 15/2; 15/2; 15/2; 7; 8; 7; 13/2; 8; 15/2; 7; 13/2; 8; 7; 8; 15/2; 6; 7; 15/2; 79/10; 34/5; 7; 15/2; 7; ; 38/5; 15/2; 38/5
META; spain/la-liga-primera/atletico-madrid-v-villarreal; 2017-04-25 10:33:39 GMT+3; 2017-04-25 20:30; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 9/20; 9/20; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 5/12; 5/11; 4/9; 5/12; 47/100; 6/13; 5/11; 4/9; 7/15; ; 4/9; 4/9; 4/9
Draw; 31/10; 16/5; 10/3; 3; 16/5; 10/3; 10/3; 10/3; 3; 29/10; 3; 3; 16/5; 10/3; 16/5; 16/5; 13/4; 17/5; 3; 13/4; 69/20; 41/13; 16/5; 16/5; 13/4; ; 3; 3; 10/3
Villarreal; 8; 7; 8; 15/2; 8; 7; 8; 15/2; 7; 8; 15/2; 15/2; 15/2; 9; 7; 8; 8; 25/4; 7; 8; 79/10; 38/5; 7; 8; 7; ; 38/5; 39/5; 41/5
