META; spain/la-liga-primera/barcelona-v-granada; 2016-10-17 04:19:48 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; ; 1/22; ; ; 1/16; ; ; 1/25; ; 1/12; 1/19; 1/16; 1/16; 1/12; 1/16; 1/16; 1/12; ; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; ; 14; ; ; 14; ; ; 12; ; 8; 12; 9; 11; 9; 11; 9; 14; ; 11; ; ; ; ; 
Granada; 33; ; ; ; ; ; 35; ; ; 40; ; ; 45; ; 66; 40; 28; 33; 20; 33; 28; 35; ; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-17 08:19:45 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; ; 1/22; ; ; 1/16; ; ; 1/25; ; 1/12; 1/19; 1/14; 1/16; 1/12; 1/16; 1/14; 1/12; ; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; ; 14; ; ; 14; ; ; 12; ; 8; 12; 17/2; 11; 9; 11; 17/2; 14; ; 11; ; ; ; ; 
Granada; 33; ; ; ; ; ; 35; ; ; 40; ; ; 45; ; 66; 40; 111/4; 33; 20; 33; 111/4; 35; ; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-17 12:20:46 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/18; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/12; 1/16; 1/41; 1/14; ; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 16; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 9; 11; 27/2; 17; ; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 33; ; ; 40; 50; ; 50; ; 50; 40; 63/2; 33; 20; 33; 63/2; 40; ; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-17 16:20:36 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-17 20:20:27 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-18 00:19:52 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
