META; spain/la-liga-primera/barcelona-v-villarreal; 2017-04-26 19:43:03 GMT+3; 2017-05-06 17:30; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 1/5; ; ; ; ; ; 1/6; ; 
Draw; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 5; ; ; 15/2; ; ; ; ; ; 14/5; ; 
Villarreal; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; 11; ; ; 29/2; ; ; ; ; ; 3; ; 
META; spain/la-liga-primera/barcelona-v-villarreal; 2017-04-28 11:03:33 GMT+3; 2017-05-06 17:30; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; 2/11; ; 1/5; ; 2/11; ; 2/11; ; 1/6; ; 
Draw; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 5; 13/2; ; 15/2; ; 13/2; ; 13/2; ; 14/5; ; 
Villarreal; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; 11; 23/2; ; 29/2; ; 23/2; ; 23/2; ; 3; ; 
META; spain/la-liga-primera/barcelona-v-villarreal; 2017-05-02 18:58:42 GMT+3; 2017-05-06 17:30; e70300-dr003
Barcelona; 1/7; 1/6; 2/13; 1/6; 1/7; 1/6; 2/11; 1/7; 2/13; 2/15; 1/7; 1/7; 1/7; 2/13; 1/6; 1/6; 1/8; 2/13; 1/6; 1/8; 17/100; 2/13; 1/6; 2/13; 1/6; ; 2/11; 1/6; 2/11
Draw; 7; 7; 7; 7; 15/2; 15/2; 7; 7; 7; 13/2; 7; 7; 7; 13/2; 7; 15/2; 29/4; 13/2; 13/2; 29/4; 17/2; 67/10; 13/2; 13/2; 13/2; ; 36/5; 36/5; 17/2
Villarreal; 14; 12; 16; 12; 16; 16; 12; 14; 14; 16; 14; 16; 18; 16; 14; 16; 15; 29/2; 15; 15; 33/2; 13; 15; 14; 15; ; 83/5; 16; 81/5
META; spain/la-liga-primera/barcelona-v-villarreal; 2017-05-03 10:19:22 GMT+3; 2017-05-06 17:30; e70300-dr003
Barcelona; 1/7; 1/6; 2/13; 1/6; 1/7; 1/6; 2/11; 1/7; 2/13; 2/15; 1/7; 2/13; 1/7; 2/13; 1/6; 1/6; 1/7; 2/13; 1/6; 1/7; 17/100; 2/13; 1/6; 2/13; 1/6; ; 2/11; 1/7; 2/11
Draw; 7; 7; 7; 7; 15/2; 15/2; 7; 7; 7; 13/2; 7; 7; 13/2; 13/2; 7; 15/2; 15/2; 13/2; 13/2; 15/2; 17/2; 67/10; 13/2; 13/2; 13/2; ; 37/5; 28/5; 17/2
Villarreal; 14; 12; 16; 12; 16; 16; 12; 14; 14; 16; 14; 16; 16; 16; 14; 14; 63/4; 29/2; 15; 63/4; 33/2; 13; 15; 14; 15; ; 83/5; 68/5; 81/5
