META; spain/la-liga-primera/betis-v-eibar; 2017-04-06 11:21:21 GMT+3; 2017-04-16 17:30; e70300-dr003
Betis; 13/10; ; 29/20; ; ; ; 7/5; ; ; 7/5; ; 11/8; 27/20; 7/5; 7/5; 11/8; 23/17; ; ; 23/17; 33/20; ; ; ; ; ; 5/4; ; 
Eibar; 21/10; ; 39/20; ; ; ; 2; ; ; 19/10; ; 2; 21/10; 19/10; 2; 2; 19/10; ; ; 19/10; 199/100; ; ; ; ; ; 7/4; ; 
Draw; 11/5; ; 9/4; ; ; ; 23/10; ; ; 23/10; ; 9/4; 9/4; 23/10; 23/10; 23/10; 11/5; ; ; 11/5; 23/10; ; ; ; ; ; 21/10; ; 
META; spain/la-liga-primera/betis-v-eibar; 2017-04-06 16:04:47 GMT+3; 2017-04-16 17:30; e70300-dr003
Betis; 13/10; ; 29/20; ; ; ; 11/8; ; ; 7/5; ; 11/8; 11/8; 7/5; 7/5; 11/8; 23/17; 13/10; ; 23/17; 33/20; ; ; ; ; ; 5/4; ; 
Eibar; 21/10; ; 39/20; ; ; ; 21/10; ; ; 19/10; ; 2; 2; 19/10; 2; 2; 37/19; 21/10; ; 37/19; 199/100; ; ; ; ; ; 7/4; ; 
Draw; 11/5; ; 9/4; ; ; ; 23/10; ; ; 23/10; ; 9/4; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; ; 11/5; 23/10; ; ; ; ; ; 21/10; ; 
META; spain/la-liga-primera/betis-v-eibar; 2017-04-06 20:05:18 GMT+3; 2017-04-16 17:30; e70300-dr003
Betis; 13/10; ; 6/4; ; ; 29/20; 29/20; ; ; 7/5; ; 29/20; 7/5; 29/20; 7/5; 16/11; 7/5; 13/10; ; 7/5; 33/20; 11/8; ; ; ; ; 27/20; ; 
Eibar; 21/10; ; 39/20; ; ; 2; 2; ; ; 19/10; ; 19/10; 39/20; 15/8; 2; 2; 19/10; 21/10; ; 19/10; 199/100; 20/11; ; ; ; ; 7/4; ; 
Draw; 11/5; ; 11/5; ; ; 12/5; 23/10; ; ; 23/10; ; 9/4; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; ; 11/5; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; spain/la-liga-primera/betis-v-eibar; 2017-04-07 13:06:32 GMT+3; 2017-04-16 17:30; e70300-dr003
Betis; 13/10; ; 6/4; ; ; 29/20; 29/20; ; ; 7/5; ; 29/20; 7/5; 29/20; 7/5; 16/11; 23/17; 13/10; ; 23/17; 13/8; 11/8; ; ; ; ; 27/20; ; 
Eibar; 21/10; ; 39/20; ; ; 2; 2; ; ; 19/10; ; 19/10; 39/20; 15/8; 2; 2; 19/10; 21/10; ; 19/10; 2; 20/11; ; ; ; ; 7/4; ; 
Draw; 11/5; ; 11/5; ; ; 12/5; 9/4; ; ; 9/4; ; 11/5; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; ; 11/5; 58/25; 9/4; ; ; ; ; 21/10; ; 
META; spain/la-liga-primera/betis-v-eibar; 2017-04-10 16:38:41 GMT+3; 2017-04-16 17:30; e70300-dr003
Betis; 17/10; 13/8; 17/10; 13/8; 7/4; 7/4; 7/4; 11/8; 13/8; 17/10; 13/8; 17/10; 33/20; 17/10; 13/8; 8/5; 28/17; 17/11; 13/8; 28/17; 89/50; 19/12; 28/17; 17/10; 5/3; ; 13/8; 13/8; 
Eibar; 13/8; 13/8; 33/20; 17/10; 17/10; 17/10; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 13/8; 13/8; 17/10; 7/4; 8/5; 7/4; 17/10; 8/5; 181/100; 13/8; 17/10; 8/5; 17/10; ; 6/4; 13/8; 
Draw; 11/5; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 9/4; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 117/50; 11/5; 23/10; 11/5; 23/10; ; 21/10; 21/10; 
META; spain/la-liga-primera/betis-v-eibar; 2017-04-11 12:53:09 GMT+3; 2017-04-16 17:30; e70300-dr003
Eibar; 13/8; 6/4; 13/8; 17/10; 13/8; 5/3; 31/20; 6/4; 13/8; 6/4; 31/20; 13/8; 8/5; 8/5; 8/5; 8/5; 17/11; 7/4; 17/10; 17/11; 7/4; 20/13; 17/10; 13/8; 17/10; ; 6/4; 6/4; 13/8
Betis; 17/10; 17/10; 17/10; 13/8; 7/4; 7/4; 17/10; 6/4; 13/8; 13/8; 13/8; 7/4; 33/20; 17/10; 7/4; 7/4; 8/5; 17/11; 13/8; 8/5; 183/100; 13/8; 28/17; 17/10; 5/3; ; 13/8; 17/10; 17/10
Draw; 11/5; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 11/5; 11/5; 47/20; 23/10; 23/10; 12/5; 9/4; 11/5; 23/10; 9/4; 117/50; 23/10; 23/10; 23/10; 23/10; ; 11/5; 11/5; 5/2
META; spain/la-liga-primera/betis-v-eibar; 2017-04-12 12:23:38 GMT+3; 2017-04-16 17:30; e70300-dr003
Eibar; 13/8; 13/8; 33/20; 17/10; 17/10; 17/10; 13/8; 13/8; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 13/8; 8/5; 28/17; 7/4; 17/10; 28/17; 7/4; 19/12; 17/10; 17/10; 17/10; ; 13/8; 13/8; 17/10
Betis; 17/10; 13/8; 33/20; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 13/8; 8/5; 17/10; 13/8; 13/8; 13/8; 7/4; 28/17; 17/11; 13/8; 28/17; 183/100; 17/11; 28/17; 17/10; 5/3; ; 13/8; 13/8; 17/10
Draw; 11/5; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; 47/20; 23/10; 5/2; 23/10; 9/4; 11/5; 23/10; 9/4; 117/50; 23/10; 23/10; 23/10; 23/10; ; 9/4; 9/4; 12/5
