META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-20 20:20:39 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 28/29; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 27/11; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; 7/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 00:19:55 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 19/20; ; 19/20; ; 19/20; 28/29; ; ; ; ; 4/7; ; 
Draw; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 9/4; ; 23/10; ; 9/4; 27/11; ; ; ; ; 7/5; ; 
Osasuna; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 37/13; ; 29/10; ; 37/13; 7/2; ; ; ; ; 6/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 04:19:48 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; ; ; ; ; 21/20; ; ; 1; ; ; 1; ; ; 1; 19/20; ; 19/20; ; 19/20; 28/29; ; ; ; ; 4/7; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; 23/10; ; ; 23/10; ; ; 12/5; 9/4; ; 23/10; ; 9/4; 27/11; ; ; ; ; 7/5; ; 
Osasuna; 14/5; ; ; ; ; ; 29/10; ; ; 11/4; ; ; 29/10; ; ; 3; 37/13; ; 29/10; ; 37/13; 7/2; ; ; ; ; 6/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 08:19:59 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; ; ; ; ; 21/20; ; ; 1; ; ; 1; ; ; 1; 19/20; ; 19/20; ; 19/20; 28/29; ; ; ; ; 8/11; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; 23/10; ; ; 23/10; ; ; 12/5; 9/4; ; 23/10; ; 9/4; 27/11; ; ; ; ; 7/4; ; 
Osasuna; 14/5; ; ; ; ; ; 29/10; ; ; 11/4; ; ; 29/10; ; ; 3; 37/13; ; 29/10; ; 37/13; 7/2; ; ; ; ; 9/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 12:20:07 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; ; ; ; ; 21/20; ; ; 1; ; ; 1; ; ; 21/20; 1; ; 19/20; ; 1; 28/29; ; ; ; ; 4/6; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; 23/10; ; ; 47/20; ; ; 12/5; 9/4; ; 23/10; ; 9/4; 27/11; ; ; ; ; 7/4; ; 
Osasuna; 14/5; ; ; ; ; ; 29/10; ; ; 14/5; ; ; 57/20; ; ; 14/5; 14/5; ; 29/10; ; 14/5; 7/2; ; ; ; ; 9/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 16:20:12 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 21/20; ; ; 21/20; 21/20; ; ; 1; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 28/29; 42/41; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; ; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; 23/10; ; ; 7/4; ; 
Osasuna; 14/5; ; 11/4; ; ; 14/5; 14/5; ; ; 14/5; ; ; 57/20; ; 13/5; 14/5; 11/4; 11/4; 29/10; 11/4; 11/4; 7/2; 5/2; 11/4; ; ; 9/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 20:20:17 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 21/20; ; ; 21/20; 21/20; ; ; 1; ; ; 1; ; 21/20; 21/20; 19/20; 21/20; 19/20; 21/20; 19/20; 28/29; 42/41; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; ; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; 23/10; ; ; 7/4; ; 
Osasuna; 14/5; ; 11/4; ; ; 14/5; 14/5; ; ; 14/5; ; ; 57/20; ; 13/5; 14/5; 11/4; 11/4; 29/10; 11/4; 11/4; 7/2; 5/2; 11/4; ; ; 9/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-22 00:19:29 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 21/20; ; ; 21/20; 1; ; 21/20; 1; ; ; 1; ; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 19/20; 28/29; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 11/4; ; ; 14/5; 29/10; ; 14/5; 14/5; ; ; 57/20; ; 13/5; 3; 11/4; 11/4; 29/10; 11/4; 11/4; 7/2; 5/2; 11/4; ; ; 9/4; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-22 04:20:07 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 21/20; ; ; 21/20; 1; ; 21/20; 1; ; ; 1; ; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 19/20; 28/29; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; 23/10; ; ; 9/5; ; 
