META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-02 00:19:13 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; ; ; 2/5; ; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; 5/11; ; ; 12/25; ; ; ; ; 1/4; ; 
Draw; ; ; 16/5; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 13/4; ; ; 18/5; ; ; ; ; 9/5; ; 
Granada; ; ; 13/2; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 69/10; ; ; ; ; 12/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-02 04:19:04 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; ; ; 9/20; ; 1/2; 1/2; 4/9; ; 4/9; ; ; 4/9; 3/7; 5/11; ; 3/7; 12/25; ; ; ; ; 3/10; ; 
Draw; 16/5; ; 16/5; ; ; ; 16/5; ; 3; 3; 29/10; ; 16/5; ; ; 10/3; 41/13; 13/4; ; 41/13; 18/5; ; ; ; ; 2; ; 
Granada; 13/2; ; 13/2; ; ; ; 13/2; ; 6; 6; 6; ; 7; ; ; 7; 6; 11/2; ; 6; 69/10; ; ; ; ; 27/10; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-02 08:18:58 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; ; ; 9/20; ; 1/2; 1/2; 4/9; ; 4/9; ; ; 4/9; 3/7; 5/11; ; 3/7; 12/25; ; ; ; ; 3/10; ; 
Draw; 16/5; ; 16/5; ; ; ; 16/5; ; 3; 3; 29/10; ; 16/5; ; ; 10/3; 41/13; 13/4; ; 41/13; 18/5; ; ; ; ; 2; ; 
Granada; 13/2; ; 13/2; ; ; ; 13/2; ; 6; 6; 6; ; 7; ; ; 7; 6; 11/2; ; 6; 69/10; ; ; ; ; 14/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-02 12:19:19 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; ; ; 9/20; ; 1/2; 10/21; 4/9; ; 4/9; 4/9; ; 4/9; 3/7; 5/11; ; 3/7; 12/25; ; ; ; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; ; ; 16/5; ; 3; 3; 3; ; 16/5; 16/5; ; 10/3; 41/13; 13/4; ; 41/13; 18/5; ; ; ; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; ; ; 7; ; 6; 6; 13/2; ; 7; 7; ; 7; 6; 11/2; ; 6; 69/10; ; ; ; ; 31/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-02 16:19:22 GMT+2; 2017-03-11 19:45; e70300-dr003
