META; spain/la-liga-primera/malaga-v-barcelona; 2017-03-26 00:24:26 GMT+2; 2017-04-08 18:45; e70300-dr003
Barcelona; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/100; ; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 
Malaga; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2017-03-30 00:24:15 GMT+3; 2017-04-08 19:45; e70300-dr003
Barcelona; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; 29/100; ; ; ; ; ; 1/20; ; 
Draw; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 5; ; ; ; ; ; 4/11; ; 
Malaga; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10; ; ; 25/2; ; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-02 00:17:34 GMT+3; 2017-04-01 06:00; e70300-dr003
Kawasaki Frontale; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 1; ; ; 21/20; 1; 11/10; ; ; 21/20; 21/20; ; 11/10; 21/20; ; 21/20; 11/10; 21/20; 11/10; ; ; 21/20; 21/20
Draw; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 12/5; 23/10; ; ; 11/5; 11/5; 23/10; ; ; 23/10; 40/17; ; 12/5; 40/17; ; 12/5; 12/5; 23/10; 12/5; ; ; 23/10; 5/2
Vegalta Sendai; 5/2; 12/5; 49/20; 12/5; 12/5; 23/10; 5/2; 12/5; ; ; 23/10; 23/10; 5/2; ; ; 5/2; 27/11; ; 23/10; 27/11; ; 21/10; 23/10; 12/5; 23/10; ; ; 5/2; 27/10
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-02 04:19:40 GMT+3; 2017-04-08 19:45; e70300-dr003
Barcelona; ; ; 2/7; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 1/4; ; ; 29/100; ; ; ; ; ; 1/16; ; 
Draw; ; ; 9/2; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; 9/2; ; ; 5; ; ; ; ; ; 4/11; ; 
Malaga; ; ; 15/2; ; ; ; ; ; 11; ; ; ; ; ; ; ; ; 10; ; ; 25/2; ; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-02 08:20:10 GMT+3; 2017-04-01 16:45; e70300-dr003
FC Sion; 4/5; 4/5; 4/5; ; 4/5; 3/4; 5/6; 8/11; 8/11; 4/5; 4/5; 3/4; 5/6; ; 4/5; 4/5; 10/13; 4/5; 8/11; 10/13; 5/6; 13/16; 14/19; 3/4; 7/9; ; 8/11; 8/11; 4/5
Draw; 5/2; 13/5; 27/10; ; 11/4; 13/5; 14/5; 13/5; 5/2; 14/5; 13/5; 14/5; 27/10; ; 11/4; 27/10; 14/5; 13/5; 13/5; 14/5; 3; 45/17; 45/17; 13/5; 11/4; ; 3; 5/2; 3
Thun; 7/2; 3; 3; ; 10/3; 14/5; 3; 3; 14/5; 3; 29/10; 14/5; 3; ; 16/5; 31/10; 16/5; 27/10; 3; 16/5; 67/20; 27/10; 16/5; 14/5; 13/4; ; 14/5; 3; 3
