META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-16 00:19:24 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; ; ; 1/5; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; 1/5; ; ; 2/11; ; ; ; ; 1/16; ; 
Draw; ; ; 9/2; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 11/2; ; ; 38/5; ; ; ; ; 1/50; ; 
Real Sociedad; ; ; 14; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; 11; ; ; 18; ; ; ; ; 1/16; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-16 04:18:57 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; ; ; 1/5; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; 1/5; ; ; 2/11; ; ; ; ; 1/16; ; 
Draw; ; ; 9/2; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 11/2; ; ; 38/5; ; ; ; ; 1/50; ; 
Real Sociedad; ; ; 14; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; 11; ; ; 18; ; ; ; ; 1/16; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-16 08:18:53 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; ; ; 1/5; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; 1/5; ; ; 2/11; ; ; ; ; 1/16; ; 
Draw; ; ; 9/2; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 11/2; ; ; 38/5; ; ; ; ; 1/50; ; 
Real Sociedad; ; ; 14; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; 11; ; ; 18; ; ; ; ; 1/16; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-16 12:18:55 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; ; ; 1/5; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; 1/5; ; ; 2/11; ; ; ; ; 1/16; ; 
Draw; ; ; 9/2; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 11/2; ; ; 38/5; ; ; ; ; 4/11; ; 
Real Sociedad; ; ; 14; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; 11; ; ; 18; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-16 16:20:00 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; ; 1/5; ; 2/9; 2/11; ; 1/5; 1/5; 1/5; ; 2/11; ; 2/9; 1/5; 1/6; 1/5; ; 1/6; 2/11; ; ; ; ; 1/16; ; 
Draw; 6; ; ; 6; ; 13/2; 13/2; ; 6; 6; 11/2; ; 13/2; ; 6; 13/2; 6; 11/2; ; 6; 77/10; ; ; ; ; 4/11; ; 
Real Sociedad; 12; ; ; 11; ; 11; 14; ; 10; 11; 12; ; 12; ; 10; 12; 43/4; 11; ; 43/4; 17; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-16 20:19:57 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 2/9; 2/11; ; 1/5; 1/5; 1/5; ; 2/11; ; 2/9; 1/5; 1/6; 1/5; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/16; ; 
Draw; 6; ; 9/2; 6; ; 13/2; 13/2; ; 6; 6; 11/2; ; 13/2; ; 6; 13/2; 6; 11/2; 6; 6; 77/10; ; 6; ; ; 4/9; ; 
Real Sociedad; 12; ; 14; 11; ; 11; 14; ; 10; 11; 12; ; 12; ; 10; 12; 43/4; 11; 11; 43/4; 17; ; 11; ; ; 4/9; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-17 00:18:24 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 2/9; 2/11; ; 1/5; 1/5; 1/5; ; 2/11; ; 2/9; 1/5; 2/11; 1/5; 1/5; 2/11; 2/11; ; 1/5; ; ; 1/12; ; 
Draw; 6; ; 9/2; 6; ; 13/2; 13/2; ; 6; 6; 11/2; ; 13/2; ; 6; 13/2; 6; 11/2; 6; 6; 77/10; ; 6; ; ; 4/9; ; 
Real Sociedad; 12; ; 14; 11; ; 11; 14; ; 10; 11; 12; ; 12; ; 10; 12; 43/4; 11; 11; 43/4; 17; ; 11; ; ; 4/9; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-17 04:19:15 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; ; 2/11; ; 2/9; 1/5; 2/11; 1/5; 1/5; 2/11; 2/11; ; 1/5; ; ; 1/12; ; 
Draw; 6; ; 9/2; 6; ; 13/2; 13/2; ; 6; 6; 11/2; ; 13/2; ; 6; 13/2; 6; 11/2; 6; 6; 77/10; ; 6; ; ; 4/9; ; 
Real Sociedad; 12; ; 14; 11; ; 11; 14; ; 10; 11; 12; ; 12; ; 10; 12; 43/4; 11; 11; 43/4; 17; ; 11; ; ; 4/9; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-17 08:19:09 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; ; 2/11; ; 2/9; 1/5; 2/11; 1/5; 1/5; 2/11; 2/11; ; 1/5; ; ; 1/12; ; 
Draw; 6; ; 9/2; 6; ; 13/2; 13/2; ; 6; 6; 11/2; ; 13/2; ; 6; 13/2; 6; 11/2; 6; 6; 77/10; ; 6; ; ; 4/9; ; 
Real Sociedad; 12; ; 14; 11; ; 11; 14; ; 10; 11; 12; ; 12; ; 10; 12; 43/4; 11; 11; 43/4; 17; ; 11; ; ; 4/9; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-17 12:19:39 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/11; 1/5; 1/5; 1/6; 2/11; 2/11; 1/5; ; ; 1/12; ; 
Draw; 6; ; 6; 11/2; ; 13/2; 13/2; ; 6; 6; 6; 6; 13/2; ; 6; 13/2; 6; 11/2; 6; 6; 77/10; 6; 6; ; ; 4/9; ; 
Real Sociedad; 12; ; 12; 11; ; 11; 14; ; 10; 11; 12; 11; 12; ; 10; 12; 43/4; 11; 11; 43/4; 17; 9; 11; ; ; 4/9; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-17 16:19:51 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; ; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 1/12; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 13/2; 6; 6; 13/2; ; 7; 13/2; 25/4; 11/2; 6; 25/4; 73/10; 31/5; 6; ; ; 4/9; ; 
Real Sociedad; 12; ; 12; 11; ; 12; 12; ; 10; 12; 12; 11; 12; ; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 4/9; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-17 20:19:39 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
Draw; 6; ; 6; 6; ; 7; 13/2; ; 6; 13/2; 6; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 26/5; ; 
Real Sociedad; 12; ; 12; 11; ; 12; 14; ; 10; 12; 12; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-18 00:19:13 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
Draw; 6; ; 6; 6; ; 7; 13/2; ; 6; 13/2; 6; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 26/5; ; 
Real Sociedad; 12; ; 12; 11; ; 12; 14; ; 10; 12; 12; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-18 04:19:15 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
Draw; 6; ; 6; 6; ; 7; 13/2; ; 6; 13/2; 6; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 26/5; ; 
Real Sociedad; 12; ; 12; 11; ; 12; 14; ; 10; 12; 12; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-18 08:19:29 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
Draw; 6; ; 6; 6; ; 7; 13/2; ; 6; 13/2; 6; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 26/5; ; 
Real Sociedad; 12; ; 12; 11; ; 12; 14; ; 10; 12; 12; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-18 12:20:47 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 2/11; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 13/2; 6; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 26/5; ; 
Real Sociedad; 12; ; 12; 11; ; 12; 12; ; 10; 12; 12; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-18 16:20:26 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 26/5; ; 
Real Sociedad; 12; ; 12; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-18 20:20:15 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 1/5; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 2/11; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 2/13; ; 
