META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-05 00:19:40 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 79/50; ; ; ; ; ; ; 
Villarreal; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/25; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-05 04:19:55 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 79/50; ; ; ; ; ; ; 
Villarreal; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/25; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-05 08:19:35 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 79/50; ; ; ; ; ; ; 
Villarreal; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/25; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-05 12:20:03 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 79/50; ; ; ; ; ; ; 
Villarreal; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/25; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-05 16:21:31 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 79/50; ; ; ; ; ; ; 
Villarreal; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/25; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-05 20:20:58 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; 11/8; ; 6/4; ; ; ; 29/20; ; ; 7/5; ; ; 7/5; ; ; 16/11; 7/5; ; ; 7/5; 79/50; ; ; ; ; ; ; 
Villarreal; 19/10; ; 7/4; ; ; ; 2; ; ; 9/5; ; ; 39/20; ; ; 2; 24/13; ; ; 24/13; 52/25; ; ; ; ; ; ; 
Draw; 23/10; ; 9/4; ; ; ; 23/10; ; ; 23/10; ; ; 23/10; ; ; 12/5; 11/5; ; ; 11/5; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-06 00:19:14 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; 11/8; ; 6/4; ; ; ; 7/5; ; ; 7/5; ; ; 7/5; ; ; 7/5; 23/17; 23/17; ; 23/17; 27/20; ; ; ; ; 5/6; ; 
Villarreal; 19/10; ; 7/4; ; ; ; 2; ; ; 19/10; ; ; 39/20; ; ; 2; 37/19; 19/10; ; 37/19; 119/50; ; ; ; ; 7/5; ; 
Draw; 23/10; ; 9/4; ; ; ; 23/10; ; ; 23/10; ; ; 23/10; ; ; 12/5; 11/5; 23/10; ; 11/5; 47/20; ; ; ; ; 8/5; ; 
META; spain/la-liga-primera/real-sociedad-v-villarreal; 2017-02-06 04:19:24 GMT+2; 2017-02-19 11:00; e70300-dr003
Real Sociedad; 11/8; ; 6/4; ; ; 29/20; 7/5; ; ; 7/5; ; ; 7/5; ; ; 7/5; 23/17; 23/17; ; 23/17; 27/20; ; ; ; ; 5/6; ; 
Villarreal; 19/10; ; 7/4; ; ; 41/20; 2; ; ; 19/10; ; ; 39/20; ; ; 2; 19/10; 19/10; ; 19/10; 119/50; ; ; ; ; 13/8; ; 
Draw; 23/10; ; 9/4; ; ; 23/10; 23/10; ; ; 23/10; ; ; 23/10; ; ; 12/5; 9/4; 23/10; ; 9/4; 47/20; ; ; ; ; 15/8; ; 
