META; spain/la-liga-primera/valencia-v-eibar; 2017-01-22 00:20:08 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-22 04:19:39 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-22 08:19:56 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-22 12:22:03 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-22 16:20:57 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-22 20:20:05 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; 5/6; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-23 00:19:27 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; ; ; 19/20; ; ; ; 4/5; ; ; 3/4; 3/4; ; ; 4/5; ; 5/6; 5/6; 7/9; ; 5/6; 81/100; ; ; ; ; 8/11; ; 
Draw; ; ; 23/10; ; ; ; 11/4; ; ; 11/4; 5/2; ; ; 29/10; ; 14/5; 27/10; 13/5; ; 27/10; 29/10; ; ; ; ; 13/5; ; 
Eibar; ; ; 13/5; ; ; ; 7/2; ; ; 10/3; 16/5; ; ; 16/5; ; 10/3; 3; 10/3; ; 3; 77/20; ; ; ; ; 14/5; ; 
