META; spain/la-liga-segunda/oviedo-v-lugo; 2016-10-31 16:24:46 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 19/20; ; ; 21/20; 11/10; 1; 11/10; ; ; 11/10; 11/10; ; 21/20; ; 11/10; ; 21/20; ; ; ; 21/20; 8/7; 11/10; ; ; ; ; 21/20; 
Draw; 21/10; ; ; 11/5; 11/5; 21/10; 9/4; ; ; 9/4; 21/10; ; 11/5; ; 11/5; ; 21/10; ; ; ; 21/10; 11/5; 28/13; ; ; ; ; 19/10; 
Lugo; 14/5; ; ; 5/2; 11/4; 12/5; 11/4; ; ; 13/5; 13/5; ; 14/5; ; 5/2; ; 13/5; ; ; ; 13/5; 3; 9/4; ; ; ; ; 9/4; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-10-31 20:26:47 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 19/20; 1; 21/20; 21/20; 11/10; 1; 11/10; ; ; 21/20; 21/20; 21/20; 21/20; ; 11/10; ; 1; 21/20; 1; 21/20; 1; 8/7; 11/10; 21/20; ; ; 1; 21/20; 
Draw; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; ; ; 21/10; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 11/5; 2; 11/5; 21/10; 11/5; 28/13; 11/5; ; ; 2; 19/10; 
Lugo; 14/5; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; ; ; 14/5; 13/5; 13/5; 29/10; ; 5/2; ; 37/13; 11/4; 11/4; 11/4; 37/13; 3; 9/4; 11/4; ; ; 5/2; 9/4; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-01 00:25:36 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 19/20; 1; 11/10; 21/20; 11/10; 1; 11/10; ; ; 21/20; 21/20; 21/20; 21/20; ; 11/10; ; 1; 21/20; 1; 21/20; 1; 8/7; 11/10; 21/20; ; ; 1; 21/20; 
Draw; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; ; ; 21/10; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 11/5; 2; 11/5; 21/10; 11/5; 28/13; 11/5; ; ; 2; 2; 
Lugo; 14/5; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; ; ; 14/5; 13/5; 13/5; 29/10; ; 5/2; ; 37/13; 11/4; 11/4; 11/4; 37/13; 3; 9/4; 11/4; ; ; 5/2; 12/5; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-01 04:24:33 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 19/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; ; 21/20; 21/20; 21/20; 21/20; 21/20; ; 11/10; ; 1; 21/20; 1; 21/20; 1; 8/7; 11/10; 21/20; ; ; 1; 1; 
Draw; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; ; 2; 21/10; 21/10; 11/5; 21/10; ; 11/5; ; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; ; ; 2; 2; 
Lugo; 14/5; 13/5; 13/5; 5/2; 11/4; 12/5; 14/5; ; 13/5; 14/5; 13/5; 13/5; 29/10; ; 5/2; ; 37/13; 11/4; 11/4; 11/4; 37/13; 3; 9/4; 11/4; ; ; 12/5; 11/5; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-01 08:24:43 GMT+3; 2016-11-06 17:00; e70300-dr003
