META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-12 20:28:51 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; ; ; 11/10; ; 11/10; ; ; ; 4/5; ; ; 21/20; ; ; ; 21/20; ; ; ; 21/20; ; ; ; ; 1; 21/20; 
Draw; 12/5; 9/4; ; ; 12/5; ; 9/4; ; ; ; 12/5; ; ; 23/10; ; ; ; 40/17; ; ; ; 40/17; ; ; ; ; 2; 11/5; 
Alcorcon; 5/2; 12/5; ; ; 5/2; ; 11/4; ; ; ; 16/5; ; ; 53/20; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; 12/5; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-13 00:26:01 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; ; ; 21/20; ; 11/10; ; 1; 1; 4/5; ; ; 21/20; ; ; ; 1; 1; ; 1; 1; 11/10; ; ; ; 1; 21/20; 
Draw; 12/5; 85/40; ; ; 9/4; ; 9/4; ; 85/40; 9/4; 12/5; ; ; 9/4; ; ; ; 28/13; 9/4; ; 9/4; 28/13; 23/10; ; ; ; 2; 11/5; 
Alcorcon; 5/2; 13/5; ; ; 11/4; ; 14/5; ; 5/2; 29/10; 16/5; ; ; 11/4; ; ; ; 14/5; 29/10; ; 14/5; 14/5; 3; ; ; ; 12/5; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-13 04:27:43 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 1; ; ; 21/20; ; 11/10; 1; 1; 1; 4/5; ; ; 21/20; 21/20; ; ; 1; 1; 21/20; 1; 1; 11/10; ; ; ; 20/21; 1; 
Draw; 12/5; 11/5; ; ; 23/10; ; 9/4; 11/5; 85/40; 9/4; 12/5; ; ; 9/4; 23/10; ; ; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; ; ; ; 2; 21/10; 
Alcorcon; 5/2; 13/5; ; ; 11/4; ; 14/5; 13/5; 5/2; 29/10; 16/5; ; ; 11/4; 12/5; ; ; 14/5; 29/10; 23/10; 14/5; 14/5; 3; ; ; ; 12/5; 11/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-13 08:26:59 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 1; ; ; 21/20; ; 11/10; 1; 1; 1; 4/5; ; ; 21/20; 21/20; ; 21/20; 1; 1; 21/20; 1; 1; 11/10; ; ; ; 1; 21/20; 
Draw; 12/5; 11/5; ; ; 23/10; ; 9/4; 11/5; 85/40; 9/4; 12/5; ; ; 9/4; 23/10; ; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; ; ; ; 21/10; 11/5; 
Alcorcon; 5/2; 13/5; ; ; 11/4; ; 14/5; 13/5; 5/2; 29/10; 16/5; ; ; 11/4; 12/5; ; 13/5; 14/5; 29/10; 23/10; 14/5; 14/5; 3; ; ; ; 12/5; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-13 12:29:43 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 1; ; 11/10; 21/20; 1; 11/10; 1; 1; 1; 21/20; ; ; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 11/10; ; 21/20; ; 1; 21/20; 
Draw; 12/5; 11/5; ; 21/10; 23/10; 11/5; 9/4; 11/5; 85/40; 9/4; 21/10; ; ; 9/4; 23/10; 21/10; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 23/10; ; 9/4; ; 21/10; 11/5; 
Alcorcon; 5/2; 13/5; ; 13/5; 11/4; 5/2; 14/5; 13/5; 5/2; 29/10; 14/5; ; ; 11/4; 23/10; 3; 13/5; 11/4; 29/10; 23/10; 14/5; 11/4; 3; ; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-13 16:31:22 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; ; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 21/20; ; ; 1; 1; 1; 1; 1; 21/20; 1; 1; 11/10; 42/41; 1; ; 1; 1; 
Draw; 12/5; 11/5; ; 21/10; 9/4; 11/5; 9/4; 11/5; 85/40; 9/4; 21/10; 21/10; ; ; 23/10; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; 21/10; 
Alcorcon; 11/4; 13/5; ; 14/5; 11/4; 5/2; 29/10; 13/5; 13/5; 29/10; 14/5; 13/5; ; ; 12/5; 3; 11/4; 37/13; 29/10; 23/10; 14/5; 37/13; 3; 12/5; 11/4; ; 5/2; 11/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-13 20:30:29 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; ; 21/20; 11/10; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 42/41; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 85/40; ; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; 21/10; 
Alcorcon; 5/2; 5/2; ; 5/2; 13/5; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 12/5; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 12/5; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-14 00:27:56 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; ; 21/20; 11/10; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 42/41; 21/20; ; 21/20; 1; 
