META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-06 00:23:33 GMT+2; 2017-02-11 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Zaragoza; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-06 04:23:27 GMT+2; 2017-02-11 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Zaragoza; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-06 08:23:24 GMT+2; 2017-02-11 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Zaragoza; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-06 12:23:32 GMT+2; 2017-02-11 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Zaragoza; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-06 16:26:41 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 6/4; ; ; 8/5; 29/20; 13/8; ; ; 6/4; ; ; 31/20; ; 8/5; ; 17/11; 6/4; ; 17/11; 167/100; 19/13; ; ; ; 6/4; 7/5; 
Levante; 2; 15/8; ; ; 19/10; 7/4; 19/10; ; ; 19/10; ; ; 15/8; ; 19/10; ; 19/10; 37/19; ; 19/10; 21/10; 22/13; ; ; ; 9/5; 7/4; 
Draw; 2; 19/10; ; ; 2; 39/20; 21/10; ; ; 2; ; ; 21/10; ; 19/10; ; 2; 37/19; ; 2; 2; 21/10; ; ; ; 19/10; 19/10; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-06 20:25:32 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 13/8; ; 8/5; 13/8; 29/20; 17/10; ; 6/4; 13/8; 8/5; 6/4; 13/8; ; 13/8; ; 8/5; 6/4; 17/10; 8/5; 173/100; 19/13; 17/10; 8/5; ; 8/5; 6/4; 
Levante; 2; 9/5; ; 9/5; 15/8; 7/4; 19/10; ; 9/5; 9/5; 7/4; 9/5; 37/20; ; 9/5; ; 24/13; 37/19; 9/5; 24/13; 103/50; 22/13; 9/5; 7/4; ; 9/5; 13/8; 
Draw; 2; 19/10; ; 2; 2; 39/20; 2; ; 15/8; 2; 2; 2; 2; ; 2; ; 2; 37/19; 2; 2; 2; 21/10; 2; 15/8; ; 19/10; 19/10; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-07 00:23:49 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 13/8; ; 8/5; 13/8; 29/20; 17/10; ; 6/4; 13/8; 8/5; 6/4; 13/8; ; 13/8; 17/11; 8/5; 6/4; 17/10; 8/5; 173/100; 19/13; 17/10; 8/5; ; 8/5; 6/4; 
Levante; 2; 9/5; ; 9/5; 15/8; 7/4; 19/10; ; 9/5; 9/5; 17/10; 9/5; 37/20; ; 9/5; 9/5; 24/13; 37/19; 9/5; 24/13; 103/50; 22/13; 9/5; 7/4; ; 9/5; 13/8; 
Draw; 2; 19/10; ; 2; 2; 39/20; 2; ; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 37/19; 2; 2; 2; 21/10; 2; 15/8; ; 19/10; 19/10; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-07 04:24:00 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 13/8; ; 8/5; 13/8; 29/20; 17/10; ; 6/4; 13/8; 8/5; 6/4; 13/8; ; 13/8; 17/11; 8/5; 6/4; 17/10; 8/5; 173/100; 19/13; 17/10; 6/4; ; 8/5; 6/4; 
Levante; 2; 9/5; ; 9/5; 15/8; 7/4; 19/10; ; 9/5; 9/5; 17/10; 9/5; 37/20; ; 9/5; 9/5; 24/13; 37/19; 9/5; 24/13; 103/50; 22/13; 9/5; 7/4; ; 9/5; 13/8; 
Draw; 2; 19/10; ; 2; 2; 39/20; 2; ; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 37/19; 2; 2; 2; 21/10; 2; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-07 08:24:10 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 13/8; ; 8/5; 13/8; 6/4; 17/10; 6/4; 6/4; 13/8; 8/5; 6/4; 13/8; ; 13/8; 17/11; 8/5; 6/4; 17/10; 8/5; 173/100; 19/13; 17/10; 6/4; ; 8/5; 6/4; 
Levante; 2; 9/5; ; 9/5; 15/8; 17/10; 19/10; 9/5; 9/5; 9/5; 17/10; 9/5; 37/20; ; 9/5; 9/5; 24/13; 37/19; 9/5; 24/13; 103/50; 22/13; 9/5; 7/4; ; 9/5; 13/8; 
Draw; 2; 19/10; ; 2; 2; 39/20; 2; 15/8; 15/8; 2; 2; 2; 2; ; 2; 2; 39/19; 37/19; 2; 39/19; 2; 21/10; 2; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-07 12:26:00 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 13/8; 13/8; 8/5; 13/8; 6/4; 17/10; 6/4; 6/4; 13/8; 8/5; 6/4; 13/8; ; 13/8; 17/11; 28/17; 6/4; 17/10; 28/17; 173/100; 19/13; 17/10; 13/8; ; 13/8; 6/4; 
Levante; 2; 9/5; 7/4; 9/5; 15/8; 17/10; 19/10; 9/5; 7/4; 9/5; 17/10; 9/5; 9/5; ; 9/5; 9/5; 9/5; 37/19; 9/5; 9/5; 103/50; 22/13; 9/5; 7/4; ; 7/4; 13/8; 
Draw; 2; 19/10; 2; 2; 2; 39/20; 2; 15/8; 15/8; 2; 2; 2; 21/10; ; 2; 2; 2; 37/19; 2; 2; 2; 21/10; 2; 15/8; ; 19/10; 19/10; 
META; spain/la-liga-segunda/zaragoza-v-levante; 2017-02-07 16:25:21 GMT+2; 2017-02-11 17:00; e70300-dr003
Zaragoza; 6/4; 13/8; 13/8; 8/5; 13/8; 6/4; 17/10; 6/4; 6/4; 13/8; 8/5; 6/4; 13/8; ; 13/8; 17/11; 28/17; 6/4; 17/10; 28/17; 173/100; 19/13; 17/10; 13/8; ; 13/8; 6/4; 
Levante; 2; 9/5; 7/4; 9/5; 15/8; 17/10; 19/10; 9/5; 7/4; 9/5; 17/10; 9/5; 9/5; ; 9/5; 9/5; 9/5; 37/19; 9/5; 9/5; 103/50; 22/13; 9/5; 7/4; ; 7/4; 13/8; 
