META; english/championship/aston-villa-v-barnsley; 2018-01-17 12:27:46 GMT+2; 2018-01-20 15:00; e70300-dr003
Aston Villa; 1/2; 4/7; 8/15; 1/2; 14/25; 1/2; 8/15; 1/2; 11/21; 4/7; 1/2; 11/20; 8/15; 4/7; 11/20; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; 1/2; 1/2; 8/15
Draw; 3; 29/10; 29/10; 3; 13/4; 16/5; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 16/5; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; 14/5; 14/5; 3
Barnsley; 6; 5; 11/2; 6; 6; 6; 11/2; 6; 23/4; 11/2; 11/2; 11/2; 6; 5; 5; 11/2; 11/2; 29/5; 11/2; 23/5; 23/4; 21/4; 11/2; 11/2; 76/13; 28/5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-18 18:20:21 GMT+2; 2018-01-20 15:00; e70300-dr003
Aston Villa; 8/15; 8/15; 8/15; 1/2; 4/7; 11/20; 8/15; 8/15; 11/21; 8/15; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 6/11; 1/2; 8/15; 4/7; 8/15; 8/15; 8/15; 8/15; 8/15
Draw; 3; 29/10; 29/10; 3; 63/20; 3; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 3; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; 14/5; 14/5; 3
Barnsley; 11/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 61/11; 11/2; 27/5; 23/4; 11/2; 6; 11/2; 28/5; 11/2; 28/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-19 12:16:36 GMT+2; 2018-01-20 15:00; e70300-dr003
Aston Villa; 4/7; 4/7; 4/7; 8/15; 29/50; 4/7; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 4/7; 1/2; 8/15; 1/2; 5/9; 1/2; 4/7; 3/5; 4/7; 5/9; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 14/5; 3; 63/20; 16/5; 29/10; 3; 31/10; 14/5; 3; 14/5; 11/4; 29/10; 3; 3; 3; 3; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 5; 11/2; 29/5; 6; 11/2; 11/2; 23/4; 5; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 60/11; 11/2; 51/10; 23/4; 21/4; 11/2; 11/2; 11/2; ; 28/5; 27/5; 28/5
META; english/championship/aston-villa-v-barnsley; 2018-01-19 12:44:30 GMT+2; 2018-01-20 15:00; e70300-dr003
Aston Villa; 4/7; 4/7; 4/7; 8/15; 29/50; 4/7; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 4/7; 1/2; 8/15; 1/2; 5/9; 1/2; 4/7; 3/5; 4/7; 5/9; ; 8/15; 4/7; 4/7
Draw; 3; 29/10; 14/5; 3; 63/20; 16/5; 29/10; 3; 31/10; 14/5; 3; 14/5; 11/4; 29/10; 3; 3; 3; 3; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 5; 11/2; 29/5; 6; 11/2; 11/2; 23/4; 5; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 60/11; 11/2; 51/10; 23/4; 21/4; 11/2; 11/2; 11/2; ; 28/5; 28/5; 28/5
META; english/championship/aston-villa-v-barnsley; 2018-01-19 14:02:29 GMT+2; 2018-01-20 15:00; e70300-dr003
Aston Villa; 4/7; 4/7; 4/7; 4/7; 29/50; 4/7; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 4/7; 1/2; 8/15; 1/2; 5/9; 1/2; 4/7; 3/5; 4/7; 5/9; ; 4/7; 4/7; 4/7
Draw; 3; 29/10; 14/5; 11/4; 63/20; 16/5; 29/10; 3; 31/10; 14/5; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 5; 11/2; 29/5; 6; 11/2; 11/2; 23/4; 5; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 60/11; 11/2; 51/10; 23/4; 21/4; 11/2; 11/2; 11/2; ; 28/5; 28/5; 28/5
