META; english/championship/aston-villa-v-hull; 2017-06-26 14:25:19 GMT+3; 2017-08-05 17:30; e70300-dr003
Aston Villa; 1; 10/11; ; 1; ; 1; 1; 10/11; 21/20; 1; 19/20; 1; 19/20; 10/11; 1; ; 1; 11/10; 1; 1; 29/25; ; 1; ; 1; ; 4/6; ; 
Draw; 12/5; 5/2; ; 23/10; ; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; ; 40/17; 23/10; 23/10; 40/17; 12/5; ; 40/17; ; 12/5; ; 21/10; ; 
Hull; 11/4; 3; ; 12/5; ; 11/4; 14/5; 5/2; 14/5; 9/4; 12/5; 14/5; 14/5; 5/2; 11/4; ; 45/17; 12/5; 27/10; 45/17; 14/5; ; 27/10; ; 11/4; ; 1; ; 
META; english/championship/aston-villa-v-hull; 2017-07-21 16:28:40 GMT+3; 2017-08-05 17:30; e70300-dr003
Aston Villa; 11/10; 11/10; 11/10; 10/11; 11/10; 1; 11/10; 1; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 6/5; 17/16; 11/10; ; 11/10; 1; ; 1/100; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 21/10; 21/10; 21/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 9/4; 47/20; 40/17; 40/17; ; 23/10; 23/10; ; 11/5; ; 
Hull; 5/2; 13/5; 27/10; 14/5; 5/2; 11/4; 11/4; 13/5; 5/2; 13/5; 5/2; 11/4; 13/5; 11/4; 13/5; 5/2; 12/5; 12/5; 28/11; 11/4; 12/5; 27/11; ; 13/5; 13/5; ; 12/5; ; 
META; english/championship/aston-villa-v-hull; 2017-07-24 13:31:13 GMT+3; 2017-08-05 17:30; e70300-dr003
Aston Villa; 11/10; 21/20; 11/10; 10/11; 11/10; 11/10; 11/10; 1; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 117/100; 17/16; 11/10; ; 11/10; 1; ; 1/3; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 21/10; 21/10; 21/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 9/4; 119/50; 40/17; 40/17; ; 23/10; 23/10; ; 12/5; ; 
Hull; 5/2; 13/5; 27/10; 14/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 5/2; 11/4; 13/5; 11/4; 13/5; 5/2; 12/5; 12/5; 28/11; 14/5; 12/5; 27/11; ; 13/5; 13/5; ; 4/5; ; 
META; english/championship/aston-villa-v-hull; 2017-07-27 14:45:35 GMT+3; 2017-08-05 17:30; e70300-dr003
Aston Villa; 11/10; 21/20; 11/10; 10/11; 11/10; 11/10; 11/10; 1; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 1; 11/10; 1; 1; 117/100; 17/16; 24/23; ; 11/10; 11/10; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 21/10; 21/10; 21/10; 9/4; 12/5; 23/10; 11/5; 23/10; 23/10; 9/4; 119/50; 40/17; 23/10; ; 23/10; 11/5; ; 21/10; ; 
Hull; 5/2; 13/5; 27/10; 14/5; 5/2; 13/5; 11/4; 13/5; 14/5; 13/5; 5/2; 11/4; 13/5; 11/4; 14/5; 13/5; 12/5; 27/10; 45/17; 14/5; 12/5; 27/10; ; 13/5; 23/10; ; 5/2; ; 
META; english/championship/aston-villa-v-hull; 2017-07-31 12:01:29 GMT+3; 2017-08-05 17:30; e70300-dr003
Aston Villa; 11/10; 21/20; 21/20; 10/11; 1; 11/10; 21/20; 1; 17/16; 21/20; 1; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 68/67; 21/20; ; 11/10; 11/10; ; 11/10; 1; 21/20
Draw; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 12/5; 23/10; 21/10; 9/4; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 12/5; 40/17; 23/10; ; 23/10; 11/5; ; 9/4; 21/10; 12/5
Hull; 5/2; 13/5; 29/10; 14/5; 13/5; 13/5; 29/10; 13/5; 11/4; 5/2; 13/5; 14/5; 13/5; 11/4; 14/5; 13/5; 28/11; 13/5; 27/10; 3; 5/2; 45/17; ; 13/5; 23/10; ; 13/5; 21/10; 14/5
