META; english/championship/bristol-city-v-qpr; 2018-01-22 12:16:04 GMT+2; 2018-01-27 15:00; e70300-dr003
Bristol City; 10/11; 17/20; 10/11; 10/11; 23/25; 10/11; 20/23; 5/6; 11/13; 20/23; 9/10; 20/23; 10/11; 10/11; 10/11; 10/11; 7/9; 13/15; 7/9; 10/11; 11/13; 9/10; 10/11; 17/20; 13/15; 20/21; 5/6; 
Draw; 5/2; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 13/5; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 28/11; 13/5; 5/2; 5/2; 13/5; 13/5; 53/20; 28/11; 12/5; 11/5; 
QPR; 3; 3; 3; 3; 33/10; 3; 3; 3; 33/10; 3; 3; 3; 3; 31/10; 3; 3; 10/3; 58/19; 10/3; 27/11; 13/4; 3; 3; 3; 58/19; 13/5; 27/10; 
META; english/championship/bristol-city-v-qpr; 2018-01-23 02:15:35 GMT+2; 2018-01-27 15:00; e70300-dr003
Bristol City; 10/11; 17/20; 10/11; 10/11; 97/ 100; 10/11; 9/10; 5/6; 11/13; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 11/13; 10/11; 11/13; 10/11; 11/13; 10/11; 10/11; 9/10; 10/11; 20/21; 5/6; 10/11
Draw; 5/2; 13/5; 5/2; 5/2; 66/25; 13/5; 5/2; 13/5; 28/11; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 51/20; 5/2; 23/10; 11/5; 13/5
QPR; 3; 16/5; 29/10; 3; 16/5; 3; 3; 3; 33/10; 29/10; 3; 3; 3; 31/10; 3; 3; 31/10; 3; 31/10; 27/11; 13/4; 3; 3; 59/20; 58/19; 27/10; 27/10; 3
META; english/championship/bristol-city-v-qpr; 2018-01-23 17:22:09 GMT+2; 2018-01-27 15:00; e70300-dr003
Bristol City; 10/11; 10/11; 19/20; 10/11; 97/ 100; 10/11; 9/10; 5/6; 11/13; 19/20; 10/11; 10/11; 4/5; 19/20; 10/11; 10/11; 11/13; 10/11; 11/13; 10/11; 11/13; 10/11; 10/11; 9/10; 19/20; 5/6; 9/10; 20/21
Draw; 5/2; 13/5; 5/2; 5/2; 66/25; 13/5; 5/2; 13/5; 28/11; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 51/20; 28/11; 23/10; 23/10; 13/5
QPR; 3; 14/5; 29/10; 3; 16/5; 3; 3; 3; 33/10; 29/10; 3; 3; 7/2; 29/10; 3; 3; 31/10; 58/19; 31/10; 27/11; 13/4; 3; 3; 59/20; 58/19; 27/10; 5/2; 3
META; english/championship/bristol-city-v-qpr; 2018-01-24 12:17:37 GMT+2; 2018-01-27 15:00; e70300-dr003
Bristol City; 10/11; 10/11; 19/20; 10/11; 97/ 100; 10/11; 9/10; ; 11/13; 19/20; 9/10; 10/11; 4/5; 19/20; 10/11; 10/11; 11/13; 10/11; 11/13; 10/11; 11/13; 10/11; 10/11; 9/10; 19/20; ; 10/11; 9/10; 20/21
Draw; 5/2; 5/2; 5/2; 5/2; 66/25; 13/5; 5/2; ; 28/11; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 51/20; 28/11; ; 12/5; 12/5; 13/5
QPR; 3; 14/5; 29/10; 3; 16/5; 3; 3; ; 33/10; 29/10; 3; 3; 7/2; 29/10; 3; 3; 31/10; 58/19; 31/10; 27/11; 13/4; 3; 3; 59/20; 58/19; ; 3; 3; 3
