META; english/championship/millwall-v-aston-villa; 2018-04-30 14:35:58 GMT+3; 2018-05-06 12:30; e70300-dr003
Aston Villa; 29/20; 7/4; 8/5; 157/00; 31/20; 8/5; 7/5; 6/4; 29/20; 8/5; 6/4; 8/5; 13/8; 8/5; 17/11; 8/5; 15/11; 6/4; 31/20; 17/11; 6/4; 6/4; 
Millwall; 9/5; 6/4; 13/8; 89/50; 9/5; 7/4; 17/10; 7/4; 17/10; 9/5; 7/4; 7/4; 9/5; 17/10; 17/10; 17/10; 48/29; 7/4; 7/4; 7/4; 13/8; 17/10; 9/5
Draw; 23/10; 12/5; 21/10; 121/0; 23/10; 23/10; 11/5; 40/17; 9/4; 21/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 
META; english/championship/millwall-v-aston-villa; 2018-05-01 12:16:01 GMT+3; 2018-05-06 12:30; e70300-dr003
Millwall; 8/5; 6/4; 33/20; 13/8; 167/00; 17/10; 13/8; 6/4; 8/5; 13/8; 8/5; 13/8; 13/8; 33/20; 13/8; 8/5; 8/5; 17/11; 52/35; 8/5; 17/10; 8/5; 13/8; 13/8; 17/10
Aston Villa; 13/8; 7/4; 13/8; 8/5; 167/00; 17/10; 13/8; 6/4; 28/17; 13/8; 8/5; 17/10; 13/8; 17/10; 7/4; 17/10; 28/17; 7/4; 52/35; 28/17; 17/10; 28/17; 13/8; 13/8; 17/10
Draw; 23/10; 23/10; 9/4; 21/10; 121/0; 23/10; 9/4; 11/5; 40/17; 11/5; 11/5; 9/4; 9/4; 9/4; 5/2; 23/10; 23/10; 11/5; 40/17; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5
META; english/championship/millwall-v-aston-villa; 2018-05-02 11:06:59 GMT+3; 2018-05-06 12:30; e70300-dr003
Millwall; 8/5; 6/4; 31/20; 13/8; 161/00; 8/5; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 6/4; 31/20; 13/8; 8/5; 17/11; 17/11; 10/7; 8/5; 31/20; 8/5; 6/4; 6/4; 6/4; 13/8; 8/5
Aston Villa; 13/8; 7/4; 17/10; 8/5; 43/25; 9/5; 17/10; 17/10; 28/17; 17/10; 13/8; 17/10; 7/4; 9/5; 7/4; 17/10; 17/10; 7/4; 17/11; 28/17; 7/4; 7/4; 13/8; 17/10; 17/10; 7/4; 7/4
Draw; 23/10; 12/5; 9/4; 21/10; 61/25; 23/10; 23/10; 9/4; 40/17; 9/4; 11/5; 23/10; 9/4; 23/10; 5/2; 23/10; 40/17; 11/5; 40/17; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 5/2; 12/5
META; english/championship/millwall-v-aston-villa; 2018-05-03 12:43:01 GMT+3; 2018-05-06 12:30; e70300-dr003
Millwall; 6/4; 6/4; 31/20; 8/5; 38/25; 8/5; 6/4; 6/4; 32/21; 31/20; 29/20; 8/5; 6/4; 31/20; 13/8; 8/5; 6/4; 17/11; 10/7; 6/4; 31/20; 6/4; 7/5; 6/4; 8/5; 6/4; 6/4
Aston Villa; 7/4; 7/4; 17/10; 8/5; 9/5; 9/5; 7/4; 17/10; 17/10; 7/4; 17/10; 9/5; 7/4; 7/4; 7/4; 7/4; 9/5; 7/4; 17/11; 17/10; 7/4; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5
Draw; 23/10; 12/5; 9/4; 21/10; 62/25; 23/10; 23/10; 9/4; 12/5; 23/10; 11/5; 21/10; 9/4; 23/10; 5/2; 23/10; 27/11; 11/5; 40/17; 40/17; 12/5; 27/11; 12/5; 23/10; 12/5; 5/2; 12/5
META; english/championship/millwall-v-aston-villa; 2018-05-05 12:17:23 GMT+3; 2018-05-06 12:30; e70300-dr003
Millwall; 29/20; 13/10; 27/20; 29/20; 67/50; 7/5; 11/8; 13/10; 23/17; 27/20; 11/8; 5/4; 13/10; 27/20; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 7/5; 23/17; 13/10; 7/5; 7/5; 11/8; 7/5
Aston Villa; 2; 2; 15/8; 199/00; 2; 19/10; 15/8; 2; 2; 2; 41/20; 2; 37/19; 19/10; 37/19; 37/19; 2; 15/8; 19/10; 2; 2; ; ; ; ; ; 
Draw; 13/5; 12/5; 23/10; 11/5; 129/0; 12/5; 12/5; 12/5; 28/11; 12/5; 12/5; 5/2; 12/5; 12/5; 13/5; 12/5; 5/2; 23/10; 5/2; 27/11; 13/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2
