META; english/championship/norwich-v-leeds; 2018-04-23 10:16:52 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 3/4; 4/5; 4/5; 8/11; 41/50; 4/5; 4/5; 8/11; 4/5; 3/4; 4/5; 4/5; 5/6; 5/6; 4/5; 4/5; 4/5; 13/17; 4/5; 4/5; 4/5; 8/11; 4/6; 4/5
Draw; 11/4; 11/4; 13/5; 13/5; 72/25; 14/5; 11/4; 13/5; 5/2; 13/5; 11/4; 13/5; 11/4; 27/10; 11/4; 11/4; 45/17; 11/4; 27/11; 11/4; 27/10; 13/5; 9/4; 14/5
Leeds; 10/3; 16/5; 13/4; 16/5; 37/10; 7/2; 10/3; 16/5; 7/2; 10/3; 10/3; 10/3; 16/5; 10/3; 15/4; 10/3; 57/17; 62/17; 17/5; 7/2; 17/5; 3; 13/5; 7/2
META; english/championship/norwich-v-leeds; 2018-04-24 08:16:53 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 3/4; 5/6; 4/5; 8/11; 83/00; 3/4; 4/5; 8/11; 7/9; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 4/5; 5/6; 3/4; 13/16; 7/9; 4/5; 5/6; 8/11; 4/6; 4/5
Draw; 11/4; 13/5; 27/10; 13/5; 29/10; 14/5; 11/4; 13/5; 11/4; 13/5; 11/4; 13/5; 11/4; 27/10; 11/4; 13/5; 27/10; 11/4; 37/13; 45/17; 14/5; 27/10; 13/5; 9/4; 14/5
Leeds; 10/3; 16/5; 16/5; 16/5; 18/5; 7/2; 10/3; 10/3; 7/2; 16/5; 10/3; 10/3; 16/5; 16/5; 15/4; 10/3; 13/4; 10/3; 16/5; 17/5; 33/10; 33/10; 3; 13/5; 7/2
META; english/championship/norwich-v-leeds; 2018-04-25 08:16:50 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 3/4; 5/6; 4/5; 8/11; 5/6; 3/4; 4/5; 8/11; 7/9; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 4/5; 3/4; 13/16; 7/9; 5/6; 4/5; 8/11; 4/5; 8/11; 5/6
Draw; 11/4; 14/5; 11/4; 13/5; 73/25; 29/10; 11/4; 11/4; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 14/5; 11/4; 11/4; 37/13; 45/17; 14/5; 14/5; 11/4; 11/4; 13/5; 27/10
Leeds; 10/3; 3; 16/5; 16/5; 71/20; 7/2; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 31/10; 7/2; 10/3; 57/17; 13/4; 16/5; 17/5; 16/5; 57/17; 10/3; 3; 14/5; 7/2
META; english/championship/norwich-v-leeds; 2018-04-25 12:17:27 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 3/4; 5/6; 4/5; 8/11; 5/6; 3/4; 4/5; 8/11; 7/9; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 4/5; 3/4; 13/16; 7/9; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 5/6
Draw; 11/4; 14/5; 11/4; 13/5; 73/25; 29/10; 11/4; 11/4; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 37/13; 45/17; 14/5; 37/13; 11/4; 11/4; 14/5; 14/5; 27/10
Leeds; 10/3; 3; 16/5; 16/5; 71/20; 7/2; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 31/10; 7/2; 10/3; 57/17; 13/4; 16/5; 17/5; 16/5; 17/5; 10/3; 3; 7/2; 7/2; 
META; english/championship/norwich-v-leeds; 2018-04-26 12:17:23 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 5/6; 4/5; 4/5; 8/11; 43/50; 4/5; 4/5; 8/11; 7/9; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 3/4; 13/16; 7/9; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5
Draw; 11/4; 14/5; 27/10; 13/5; 29/10; 11/4; 11/4; 11/4; 11/4; 11/4; 13/5; 14/5; 14/5; 14/5; 14/5; 11/4; 11/4; 37/13; 45/17; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 14/5; 
Leeds; 3; 16/5; 16/5; 17/5; 10/3; 16/5; 16/5; 7/2; 16/5; 16/5; 10/3; 3; 31/10; 7/2; 16/5; 13/4; 13/4; 16/5; 17/5; 10/3; 33/10; 10/3; 3; 10/3; 10/3; 10/3; 
META; english/championship/norwich-v-leeds; 2018-04-27 08:16:21 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 17/20; 4/5; 5/6; 8/11; 9/10; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 3/4; 5/6; 10/13; 17/20; 5/6; 5/6; 5/6; 8/11; 5/6; 5/6
Draw; 14/5; 14/5; 11/4; 13/5; 143/0; 29/10; 11/4; 11/4; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 14/5; 11/4; 11/4; 11/4; 27/10; 29/10; 11/4; 27/10; 12/5; 14/5; 14/5; ; 
Leeds; 7/2; 3; 16/5; 13/4; 10/3; 3; 16/5; 7/2; 3; 10/3; 3; 31/10; 7/2; 16/5; 41/13; 13/4; 3; 57/17; 10/3; 41/13; 3; 14/5; 3; ; ; ; 
META; english/championship/norwich-v-leeds; 2018-04-28 12:19:17 GMT+3; 2018-04-28 15:00; e70300-dr003
Norwich; 4/5; 4/5; 3/4; 3/4; 43/50; 4/5; 4/5; 8/11; 11/14; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 4/5; 3/4; 5/6; 8/11; 5/6; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5
Draw; 16/5; 29/10; 14/5; 14/5; 61/20; 3; 29/10; 11/4; 31/10; 14/5; 3; 3; 14/5; 14/5; 3; 29/10; 14/5; 3; 56/19; 16/5; 56/19; 14/5; 14/5; 14/5; 14/5; 14/5; 
Leeds; 10/3; 3; 16/5; 10/3; 13/4; 10/3; 16/5; 16/5; 7/2; 3; 16/5; 14/5; 3; 31/10; 7/2; 3; 31/10; 16/5; 29/10; 33/10; 16/5; 41/13; 3; 10/3; 10/3; 10/3; 
