META; english/championship/norwich-v-sheffield-utd; 2018-01-17 12:27:59 GMT+2; 2018-01-20 15:00; e70300-dr003
Norwich; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 7/5; 17/11; 31/20; 29/20; 6/4; 6/4; 31/20; 6/4; 6/4; 23/17; 6/4; 23/17; 15/11; 6/4; 6/4; 6/4; 6/4; 17/11; 7/5; 7/5; 8/5
Sheffield Utd; 2; 9/5; 9/5; 19/10; 103/ 50; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 19/10; 15/8; 15/8; 19/10; 19/10; 19/10; 19/10; 19/10; 25/14; 24/13; 15/8; 19/10; 15/8; 19/10; 9/5; 7/4; 19/10
Draw; 11/5; 23/10; 11/5; 9/4; 12/5; 23/10; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 40/17; 11/5; 9/4; 23/10; 11/5; 9/4; 9/4; 11/5; 23/10
META; english/championship/norwich-v-sheffield-utd; 2018-01-18 18:20:31 GMT+2; 2018-01-20 15:00; e70300-dr003
Norwich; 8/5; 13/8; 28/17; 13/8; 43/25; 13/8; 17/10; 8/5; 7/4; 33/20; 13/8; 17/10; 29/20; 17/10; 13/8; 8/5; 17/11; 17/10; 17/11; 17/10; 17/10; 13/8; 7/4; 33/20; 17/10; 13/8; 17/10; 9/5
Sheffield Utd; 13/8; 17/10; 17/10; 17/10; 15/8; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 7/4; 15/8; 17/10; 7/4; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 9/5; 7/4; 7/4; 9/5; 9/5; 15/8
Draw; 23/10; 9/4; 21/10; 9/4; 57/25; 9/4; 11/5; 11/5; 28/13; 11/5; 11/5; 2; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 21/10; 9/4; 23/10; 21/10; 11/5; 11/5; 11/5; 11/5
META; english/championship/norwich-v-sheffield-utd; 2018-01-19 12:16:46 GMT+2; 2018-01-20 15:00; e70300-dr003
Norwich; 7/4; 13/8; 28/17; 13/8; 177/100; 17/10; 17/10; 8/5; 7/4; 33/20; 17/10; 17/10; 29/20; 17/10; 17/10; 17/10; 17/11; 17/10; 17/11; 17/10; 17/10; 13/8; 7/4; 33/20; 7/4; ; 13/8; 17/10; 9/5
Sheffield Utd; 9/5; 17/10; 17/10; 17/10; 47/25; 15/8; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 15/8; 7/4; 9/5; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 9/5; 7/4; 7/4; ; 7/4; 9/5; 15/8
Draw; 23/10; 9/4; 21/10; 9/4; 11/5; 23/10; 21/10; 11/5; 28/13; 21/10; 21/10; 21/10; 9/4; 43/20; 21/10; 11/5; 9/4; 21/10; 9/4; 9/4; 21/10; 9/4; 23/10; 21/10; 28/13; ; 11/5; 11/5; 11/5
META; english/championship/norwich-v-sheffield-utd; 2018-01-19 12:44:40 GMT+2; 2018-01-20 15:00; e70300-dr003
Norwich; 7/4; 13/8; 28/17; 13/8; 177/100; 17/10; 17/10; 8/5; 7/4; 33/20; 17/10; 17/10; 29/20; 17/10; 17/10; 17/10; 17/11; 17/10; 17/11; 17/10; 17/10; 13/8; 7/4; 33/20; 7/4; ; 13/8; 13/8; 7/4
Sheffield Utd; 9/5; 17/10; 17/10; 17/10; 47/25; 15/8; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 15/8; 7/4; 9/5; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 9/5; 7/4; 7/4; ; 7/4; 9/5; 15/8
Draw; 23/10; 9/4; 21/10; 9/4; 11/5; 23/10; 21/10; 11/5; 28/13; 21/10; 21/10; 21/10; 9/4; 43/20; 21/10; 11/5; 9/4; 21/10; 9/4; 9/4; 21/10; 9/4; 23/10; 21/10; 28/13; ; 11/5; 11/5; 11/5
META; english/championship/norwich-v-sheffield-utd; 2018-01-19 14:02:40 GMT+2; 2018-01-20 15:00; e70300-dr003
Norwich; 7/4; 13/8; 28/17; 13/8; 7/4; 17/10; 17/10; 13/8; 7/4; 33/20; 17/10; 17/10; 29/20; 17/10; 17/10; 17/10; 28/17; 17/10; 28/17; 17/10; 17/10; 13/8; 7/4; 33/20; 7/4; ; 13/8; 13/8; 7/4
Sheffield Utd; 9/5; 17/10; 17/10; 9/5; 9/5; 15/8; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 15/8; 7/4; 9/5; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 9/5; 7/4; 7/4; ; 9/5; 9/5; 15/8
Draw; 23/10; 9/4; 21/10; 21/10; 47/20; 23/10; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 9/4; 43/20; 21/10; 21/10; 21/10; 21/10; 21/10; 9/4; 21/10; 9/4; 23/10; 21/10; 28/13; ; 21/10; 21/10; 11/5
