META; english/championship/sheffield-wednesday-v-aston-villa; 2018-02-19 16:20:07 GMT+2; 2018-02-24 15:00; e70300-dr003
Aston Villa; 11/8; 11/8; ; 13/10; ; 29/20; 7/5; 13/10; 7/5; ; 7/5; 11/8; ; ; 11/8; 11/8; 7/5; 23/17; ; 7/5; 7/5; 7/5; 27/20; 7/5; ; 11/8; ; 
Sheffield Wednesday; 15/8; 2; ; 9/5; ; 2; 19/10; 9/5; 24/13; ; 2; 2; ; ; 15/8; 19/10; 24/13; 24/13; ; 24/13; 2; 19/10; 39/20; 24/13; ; 15/8; ; 
Draw; 12/5; 23/10; ; 23/10; ; 13/5; 12/5; 23/10; 12/5; ; 5/2; 23/10; ; ; 23/10; 12/5; 12/5; 12/5; ; 40/17; 12/5; 12/5; 12/5; 12/5; ; 12/5; ; 
META; english/championship/sheffield-wednesday-v-aston-villa; 2018-02-20 12:19:03 GMT+2; 2018-02-24 15:00; e70300-dr003
Aston Villa; 11/8; 11/8; ; 13/10; 36/25; 29/20; 7/5; 13/10; 7/5; ; 7/5; 7/5; ; ; 6/4; 11/8; 7/5; 23/17; ; 7/5; 7/5; 7/5; 27/20; 7/5; ; 11/8; ; 
Sheffield Wednesday; 15/8; 2; ; 9/5; 51/25; 2; 19/10; 9/5; 24/13; ; 2; 15/8; ; ; 19/10; 19/10; 24/13; 24/13; ; 24/13; 2; 19/10; 39/20; 24/13; ; 15/8; ; 
Draw; 12/5; 23/10; ; 23/10; 64/25; 13/5; 12/5; 23/10; 12/5; ; 5/2; 12/5; ; ; 9/4; 12/5; 12/5; 12/5; ; 40/17; 12/5; 12/5; 12/5; 12/5; ; 12/5; ; 
META; english/championship/sheffield-wednesday-v-aston-villa; 2018-02-24 12:17:53 GMT+2; 2018-02-24 15:00; e70300-dr003
Aston Villa; 6/4; 6/4; 16/11; 6/4; 6/4; 6/4; 6/4; 7/5; 10/7; 29/20; 6/4; 29/20; 7/5; 11/8; 6/4; 6/4; 16/11; 13/10; 11/8; 7/5; 7/5; 6/4; 29/20; 16/11; ; 7/5; 6/4; 6/4
Draw; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 2; 21/10; 41/20; 21/10; 2; 39/19; 21/10; 28/13; 39/19; 2; ; 21/10; 21/10; ; 2; 21/10; 19/10
Sheffield Wednesday; 11/5; 2; 9/4; 2; 9/4; 9/4; 21/10; 21/10; 28/13; 9/4; 21/10; 21/10; 21/10; 23/10; 21/10; 21/10; 28/13; 9/4; 11/5; 21/10; 11/5; 23/10; 11/5; 28/13; ; 21/10; 9/4; 21/10
