META; english/league-1/charlton-v-northampton; 2017-08-15 20:20:27 GMT+3; 2017-08-19 15:00; e70300-dr003
Charlton; 8/11; 4/5; 5/6; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; ; 5/6; 5/6; 4/5; ; 4/5; 4/5; 4/5; 4/5; 4/5; 21/25; 4/5; 4/5; 17/20; 5/6; 4/5; ; 4/5; 8/11; 
Draw; 13/5; 13/5; 5/2; 5/2; 11/4; 12/5; 11/4; 13/5; 27/11; ; 5/2; 5/2; 5/2; ; 11/4; 13/5; 23/10; 27/11; 5/2; 137/50; 27/11; 27/11; 5/2; 13/5; 5/2; ; 5/2; 12/5; 
Northampton; 15/4; 10/3; 10/3; 3; 7/2; 3; 33/10; 7/2; 18/5; ; 10/3; 7/2; 7/2; ; 16/5; 10/3; 15/4; 18/5; 57/17; 73/20; 29/10; 18/5; 3; 7/2; 10/3; ; 10/3; 10/3; 
META; english/league-1/charlton-v-northampton; 2017-08-16 20:06:53 GMT+3; 2017-08-19 15:00; e70300-dr003
Charlton; 8/11; 4/5; 5/6; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 83/100; 4/5; 4/5; 17/20; 5/6; 4/5; ; 8/11; 8/11; 4/5
Draw; 13/5; 13/5; 5/2; 5/2; 11/4; 12/5; 11/4; 13/5; 27/11; 5/2; 5/2; 5/2; 5/2; 11/4; 11/4; 13/5; 23/10; 27/11; 28/11; 11/4; 27/11; 27/11; 5/2; 13/5; 5/2; ; 5/2; 12/5; 27/10
Northampton; 15/4; 10/3; 10/3; 3; 18/5; 3; 33/10; 7/2; 18/5; 10/3; 10/3; 7/2; 7/2; 18/5; 16/5; 10/3; 15/4; 18/5; 17/5; 37/10; 29/10; 18/5; 3; 7/2; 10/3; ; 10/3; 10/3; 7/2
META; english/league-1/charlton-v-northampton; 2017-08-18 16:47:57 GMT+3; 2017-08-19 15:00; e70300-dr003
Charlton; 10/11; 4/5; 17/20; 17/20; 5/6; 3/4; 17/20; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 17/20; 11/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; 4/5; 5/6
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 27/11; 5/2; 13/5; 5/2; 53/20; 11/4; 11/4; 5/2; 5/2; 27/11; 27/11; 137/50; 45/17; 27/11; 13/5; 13/5; 5/2; ; 5/2; 12/5; 27/10
Northampton; 7/2; 10/3; 16/5; 10/3; 7/2; 3; 7/2; 10/3; 18/5; 10/3; 10/3; 7/2; 10/3; 18/5; 16/5; 10/3; 10/3; 18/5; 57/17; 18/5; 29/10; 18/5; 16/5; 10/3; 10/3; ; 3; 3; 7/2
