META; english/league-1/portsmouth-v-shrewsbury; 2018-01-22 12:16:49 GMT+2; 2018-01-27 15:00; e70300-dr003
Portsmouth; 13/10; 5/4; 23/17; 11/8; 141/ 100; 13/10; 13/10; 13/10; 23/17; 13/10; 11/8; 11/8; 13/10; 27/20; 13/10; 13/10; 13/10; 13/10; 13/10; 9/7; 23/17; 7/5; 13/10; 13/10; 13/10; 13/10; ; 
Draw; 11/5; 21/10; 2; 2; 85/40; 21/10; 2; 21/10; 39/19; 2; 11/5; 2; 21/10; 2; 11/5; 2; 21/10; 2; 21/10; 21/10; 39/19; 2; 11/5; 2; 2; 21/10; ; 
Shrewsbury; 21/10; 12/5; 23/10; 9/4; 61/25; 23/10; 11/5; 23/10; 11/5; 9/4; 23/10; 23/10; 9/4; 47/20; 11/5; 23/10; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 23/10; 23/10; 9/4; 11/5; ; 
META; english/league-1/portsmouth-v-shrewsbury; 2018-01-23 02:16:18 GMT+2; 2018-01-27 15:00; e70300-dr003
Portsmouth; 13/10; 5/4; 5/4; 11/8; 131/ 100; 13/10; 5/4; 5/4; 23/17; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 13/10; 5/4; 5/4; 13/10; 20/21; 6/5; 5/4
Draw; 11/5; 21/10; 2; 2; 54/25; 21/10; 2; 21/10; 39/19; 2; 11/5; 2; 21/10; 2; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 11/5; 2; 2; 21/10; 19/10; 21/10
Shrewsbury; 21/10; 12/5; 12/5; 9/4; 131/ 50; 12/5; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 11/5; 11/5; 11/5; 40/17; 11/5; 5/2; 12/5; 49/20; 9/4; 11/5; 19/10; 13/5
META; english/league-1/portsmouth-v-shrewsbury; 2018-01-23 17:22:53 GMT+2; 2018-01-27 15:00; e70300-dr003
Portsmouth; 13/10; 5/4; 5/4; 5/4; 133/ 100; 13/10; 5/4; 5/4; 23/17; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 23/17; 13/10; 5/4; 5/4; 5/4; 10/9; 6/5; 5/4
Draw; 11/5; 21/10; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; 2; 11/5; 2; 11/5; 2; 21/10; 2; 21/10; 39/19; 21/10; 21/10; 39/19; 2; 11/5; 2; 21/10; 21/10; 2; 21/10
Shrewsbury; 21/10; 12/5; 12/5; 12/5; 129/ 50; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; 21/10; 12/5; 12/5; 12/5; 11/5; 40/17; 11/5; 40/17; 11/5; 5/2; 12/5; 49/20; 12/5; 21/10; 19/10; 5/2
META; english/league-1/portsmouth-v-shrewsbury; 2018-01-24 12:18:18 GMT+2; 2018-01-27 15:00; e70300-dr003
Portsmouth; 13/10; 5/4; 5/4; 5/4; 133/ 100; 13/10; 5/4; ; 23/17; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 23/17; 13/10; 5/4; 5/4; 5/4; ; 10/9; 6/5; 5/4
Draw; 11/5; 21/10; 2; 21/10; 43/20; 9/4; 2; ; 39/19; 2; 11/5; 2; 11/5; 2; 21/10; 2; 21/10; 39/19; 21/10; 21/10; 39/19; 2; 11/5; 2; 21/10; ; 21/10; 19/10; 21/10
Shrewsbury; 21/10; 12/5; 12/5; 12/5; 129/ 50; 5/2; 23/10; ; 11/5; 12/5; 12/5; 12/5; 21/10; 49/20; 12/5; 12/5; 11/5; 40/17; 11/5; 40/17; 11/5; 5/2; 12/5; 49/20; 12/5; ; 23/10; 21/10; 5/2
