META; english/league-1/wigan-v-oldham; 2018-03-26 12:18:49 GMT+3; 2018-03-30 13:00; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 2/5; 11/25; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 4/11; 2/5; 7/17; 2/5; 2/5; 2/5; 4/11; 3/10; 2/5
Draw; 7/2; 7/2; 17/5; 10/3; 37/10; 7/2; 7/2; 57/17; 17/5; 7/2; 7/2; 7/2; 17/5; 7/2; 7/2; 17/5; 7/2; 39/11; 57/17; 7/2; 7/2; 7/2; 13/5; 7/2
Oldham; 7; 7; 37/5; 7; 15/2; 7; 15/2; 7; 13/2; 7; 7; 27/4; 27/4; 11/2; 15/2; 15/2; 13/2; 7; 11/2; 38/5; ; ; ; 
META; english/league-1/wigan-v-oldham; 2018-03-27 08:18:36 GMT+3; 2018-03-30 13:00; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 2/5; 11/25; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 7/19; 2/5; 7/17; 2/5; 2/5; 2/5; 7/19; 3/10; 4/11; 2/5; 2/5
Draw; 7/2; 7/2; 17/5; 10/3; 37/10; 18/5; 7/2; 7/2; 57/17; 17/5; 7/2; 7/2; 10/3; 17/5; 7/2; 7/2; 38/11; 7/2; 39/11; 57/17; 7/2; 7/2; 39/11; 27/10; 3; 7/2; 7/2
Oldham; 7; 7; 37/5; 15/2; 7; 15/2; 7; 15/2; 7; 13/2; 7; 7; 27/4; 27/4; 6; 15/2; 15/2; 13/2; 29/4; 14/5; 6; 38/5; 38/5; ; ; ; 
META; english/league-1/wigan-v-oldham; 2018-03-28 08:19:23 GMT+3; 2018-03-30 13:00; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 2/5; 43/100; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 3/8; 2/5; 2/5; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 
Draw; 7/2; 7/2; 17/5; 10/3; 15/4; 18/5; 7/2; 7/2; 57/17; 7/2; 18/5; 7/2; 10/3; 17/5; 7/2; 7/2; 39/11; 7/2; 18/5; 57/17; 18/5; 7/2; 62/17; 7/2; 7/2
Oldham; 7; 7; 38/5; 15/2; 7; 15/2; 15/2; 7; 13/2; 7; 7; 29/4; 27/4; 31/5; 15/2; 15/2; 13/2; 15/2; 38/5; 39/5; ; ; ; ; 
META; english/league-1/wigan-v-oldham; 2018-03-29 08:19:06 GMT+3; 2018-03-30 13:00; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 2/5; 43/100; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 3/8; 2/5; 4/11; 2/5; 4/11; 4/11; 3/8; 4/11; 2/5; 2/5; 
Draw; 4; 7/2; 7/2; 10/3; 15/4; 18/5; 7/2; 7/2; 57/17; 18/5; 18/5; 7/2; 10/3; 7/2; 15/4; 7/2; 18/5; 7/2; 18/5; 57/17; 19/5; 7/2; 62/17; 10/3; 7/2; 7/2
Oldham; 8; 15/2; 6; 38/5; 8; 7; 15/2; 15/2; 15/2; 7; 13/2; 7; 15/2; 7; 29/4; 27/4; 73/10; 15/2; 15/2; 8; 29/4; 39/5; 8; 39/5; ; 
META; english/league-1/wigan-v-oldham; 2018-03-29 09:14:56 GMT+3; 2018-03-30 13:00; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 2/5; 43/100; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 3/8; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 4/11; 2/5; 2/5; 
Draw; 4; 7/2; 7/2; 10/3; 15/4; 18/5; 7/2; 7/2; 57/17; 18/5; 18/5; 10/3; 10/3; 7/2; 15/4; 7/2; 18/5; 7/2; 18/5; 57/17; 19/5; 7/2; 62/17; 3; 7/2; 7/2
Oldham; 8; 15/2; 6; 38/5; 8; 7; 15/2; 15/2; 15/2; 15/2; 13/2; 7; 15/2; 7; 29/4; 27/4; 73/10; 15/2; 15/2; 8; 29/4; 39/5; 8; 39/5; ; 
META; english/league-1/wigan-v-oldham; 2018-03-29 15:18:25 GMT+3; 2018-03-30 13:00; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 2/5; 21/50; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 
Draw; 15/4; 7/2; 7/2; 10/3; 19/5; 18/5; 7/2; 7/2; 57/17; 7/2; 18/5; 10/3; 10/3; 17/5; 15/4; 7/2; 18/5; 7/2; 17/5; 57/17; 15/4; 7/2; 62/17; 7/2; 7/2; 7/2
Oldham; 9; 15/2; 6; 39/5; 8; 15/2; 7; 15/2; 15/2; 15/2; 15/2; 13/2; 7; 15/2; 7; 29/4; 27/4; 34/5; 15/2; 8; 15/2; 44/5; 42/5; 44/5; ; 
