META; english/league-2/luton-v-yeovil; 2017-06-26 14:26:22 GMT+3; 2017-08-05 15:00; e70300-dr003
Luton; 4/7; 4/6; ; 4/6; ; 4/7; 3/5; 4/6; 8/13; 4/7; 4/7; 8/13; 8/13; 4/6; 8/13; ; 10/17; 4/7; 4/7; 10/17; 4/6; ; 8/13; ; 8/13; ; 1/50; ; 
Draw; 3; 13/5; ; 13/5; ; 3; 3; 12/5; 3; 3; 3; 11/4; 11/4; 12/5; 3; ; 11/4; 3; 13/5; 11/4; 3; ; 13/5; ; 13/5; ; 21/10; ; 
Yeovil; 9/2; 4; ; 7/2; ; 9/2; 19/4; 7/2; 9/2; 7/2; 7/2; 9/2; 9/2; 7/2; 4; ; 54/13; 9/2; 4; 54/13; 47/10; ; 41/10; ; 41/10; ; 1/50; ; 
META; english/league-2/luton-v-yeovil; 2017-07-21 16:29:40 GMT+3; 2017-08-05 15:00; e70300-dr003
Luton; 13/20; 4/6; 13/20; 8/13; 4/6; 4/7; 4/6; 4/7; 8/13; 4/6; 4/6; 4/6; ; 8/13; 4/6; 8/13; 11/17; 4/7; 8/13; 67/100; 8/13; 8/13; ; 4/6; ; ; 1/20; ; 
Draw; 14/5; 14/5; 13/5; 11/4; 11/4; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 13/5; 45/17; 31/10; 14/5; 13/5; ; 14/5; ; ; 21/10; ; 
Yeovil; 17/4; 4; 4; 4; 4; 9/2; 21/5; 4; 41/10; 4; 4; 4; ; 4; 17/4; 4; 4; 4; 41/10; 9/2; 7/2; 41/10; ; 17/4; ; ; 21/20; ; 
META; english/league-2/luton-v-yeovil; 2017-07-24 13:32:45 GMT+3; 2017-08-05 15:00; e70300-dr003
Luton; 13/20; 4/6; 13/20; 8/13; 4/6; 8/13; 4/6; 4/7; 8/13; 4/6; 4/6; 4/6; 13/20; 8/13; 4/6; 8/13; 11/17; 4/7; 8/13; 67/100; 8/13; 8/13; ; 4/6; ; ; 2/5; ; 
Draw; 14/5; 14/5; 13/5; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 14/5; 14/5; 14/5; 11/4; 13/5; 14/5; 13/5; 45/17; 31/10; 14/5; 13/5; ; 14/5; ; ; 21/10; ; 
Yeovil; 17/4; 4; 4; 4; 4; 19/5; 21/5; 4; 41/10; 4; 4; 4; 4; 4; 17/4; 4; 4; 4; 41/10; 9/2; 7/2; 41/10; ; 17/4; ; ; 6/5; ; 
META; english/league-2/luton-v-yeovil; 2017-07-27 14:46:31 GMT+3; 2017-08-05 15:00; e70300-dr003
Luton; 13/20; 4/6; 13/20; 8/13; 4/6; 8/13; 4/6; 4/7; 8/13; 4/6; 4/6; 4/6; 13/20; 8/13; 4/6; 8/13; 11/17; 4/7; 8/13; 7/10; 8/13; 8/13; ; 4/6; ; ; 1/12; ; 
Draw; 14/5; 14/5; 13/5; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 14/5; 14/5; 14/5; 11/4; 13/5; 14/5; 13/5; 45/17; 3; 14/5; 13/5; ; 14/5; ; ; 21/10; ; 
Yeovil; 17/4; 4; 4; 4; 4; 19/5; 21/5; 4; 41/10; 4; 4; 4; 4; 4; 17/4; 4; 4; 4; 54/13; 22/5; 7/2; 41/10; ; 17/4; ; ; 13/10; ; 
META; english/league-2/luton-v-yeovil; 2017-07-31 12:02:28 GMT+3; 2017-08-05 15:00; e70300-dr003
Luton; 13/20; 4/6; 13/20; 8/13; 4/6; 8/13; 4/6; 4/7; 8/13; 4/6; 4/6; 4/6; 13/20; 8/13; 4/6; 8/13; 11/17; 4/7; 8/13; 7/10; 8/13; 8/13; ; 4/6; 4/6; ; 8/13; 8/13; 
Draw; 14/5; 14/5; 13/5; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 14/5; 14/5; 14/5; 11/4; 13/5; 14/5; 13/5; 27/10; 3; 14/5; 13/5; ; 14/5; 11/4; ; 5/2; 13/5; 
Yeovil; 17/4; 4; 4; 4; 4; 19/5; 21/5; 4; 41/10; 4; 4; 4; 4; 4; 17/4; 4; 4; 4; 21/5; 22/5; 7/2; 41/10; ; 17/4; 4; ; 21/5; 22/5; 
