META; english/non-league/national-league/dover-v-torquay; 2018-04-03 18:21:17 GMT+3; 2018-04-07 15:00; e70300-dr003
Dover; 8/11; 3/4; 3/4; 8/11; 21/25; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 3/4; 8/11; 14/19; 4/5; 11/14; 4/5; 3/4; 3/4; 10/13; 1/100; 4/5
Draw; 13/5; 12/5; 12/5; 5/2; 137/50; 12/5; 5/2; 5/2; 12/5; 5/2; 9/4; 13/5; 12/5; 28/11; 5/2; 12/5; 5/2; 13/5; 51/20; 28/11; 1/12; 13/5
Torquay; 16/5; 18/5; 7/2; 17/5; 73/20; 7/2; 10/3; 31/10; 7/2; 7/2; 10/3; 7/2; 10/3; 33/10; 3; 58/19; 31/10; 15/4; 7/2; 57/17; 5/2; 7/2
META; english/non-league/national-league/dover-v-torquay; 2018-04-04 08:20:17 GMT+3; 2018-04-07 15:00; e70300-dr003
Dover; 8/11; 3/4; 3/4; 8/11; 5/6; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 8/11; 8/11; 14/19; 4/5; 11/14; 4/5; 3/4; 3/4; 10/13; 8/15; 4/5
Draw; 13/5; 12/5; 12/5; 5/2; 137/50; 12/5; 5/2; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 28/11; 5/2; 12/5; 5/2; 13/5; 51/20; 28/11; 17/10; 13/5
Torquay; 16/5; 18/5; 7/2; 17/5; 37/10; 7/2; 10/3; 31/10; 7/2; 18/5; 10/3; 16/5; 10/3; 33/10; 3; 58/19; 31/10; 15/4; 7/2; 57/17; 19/10; 7/2
META; english/non-league/national-league/dover-v-torquay; 2018-04-04 18:21:45 GMT+3; 2018-04-07 15:00; e70300-dr003
Dover; 8/11; 3/4; 4/5; 8/11; 21/25; 7/10; 3/4; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 8/11; 10/13; 4/5; 11/14; 4/5; 4/5; 4/5; 10/13; 8/13; 8/11; 4/5
Draw; 13/5; 12/5; 23/10; 5/2; 137/0; 12/5; 5/2; 5/2; 23/10; 12/5; 11/5; 23/10; 23/10; 12/5; 28/11; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 5/4; 23/10; 13/5
Torquay; 16/5; 18/5; 10/3; 17/5; 73/20; 7/2; 10/3; 31/10; 10/3; 7/2; 10/3; 16/5; 16/5; 10/3; 57/17; 3; 58/19; 31/10; 18/5; 10/3; 57/17; 17/10; 27/10; 7/2
META; english/non-league/national-league/dover-v-torquay; 2018-04-05 13:15:14 GMT+3; 2018-04-07 15:00; e70300-dr003
Dover; 8/11; 4/5; 4/5; 8/11; 21/25; 7/10; 3/4; 11/14; 4/5; 4/5; 3/4; 4/5; 8/11; 8/11; 10/13; 4/5; 11/14; 11/14; 4/5; 10/13; 8/13; 8/11; 4/5
Draw; 13/5; 12/5; 23/10; 5/2; 137/50; 12/5; 5/2; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 12/5; 28/11; 5/2; 12/5; 12/5; 5/2; 13/5; 9/4; 23/10; 13/5
Torquay; 16/5; 16/5; 10/3; 17/5; 73/20; 7/2; 10/3; 13/4; 10/3; 7/2; 10/3; 16/5; 16/5; 16/5; 57/17; 3; 58/19; 13/4; 7/2; 17/5; 3; 27/10; 7/2
META; english/non-league/national-league/dover-v-torquay; 2018-04-06 08:20:33 GMT+3; 2018-04-07 15:00; e70300-dr003
Dover; 4/5; 4/5; 4/5; 8/11; 21/25; 7/10; 4/5; 11/14; 4/5; 4/5; 3/4; 4/5; 8/11; 8/11; 10/13; 4/5; 4/5; 11/14; 4/5; 10/13; 8/11; 8/11; 4/5
Draw; 13/5; 12/5; 23/10; 5/2; 137/50; 12/5; 5/2; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 12/5; 28/11; 5/2; 12/5; 12/5; 5/2; 13/5; 21/10; 12/5; 13/5
Torquay; 10/3; 10/3; 17/5; 17/5; 73/20; 7/2; 10/3; 13/4; 17/5; 7/2; 10/3; 16/5; 16/5; 16/5; 57/17; 3; 38/11; 13/4; 7/2; 17/5; 3; 10/3; 7/2
META; english/non-league/national-league/dover-v-torquay; 2018-04-07 12:21:43 GMT+3; 2018-04-07 15:00; e70300-dr003
Dover; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 10/13; 4/5; 4/5; 4/5; 4/5; 10/13; 5/6; 5/6; 5/6
Draw; 13/5; 12/5; 9/4; 5/2; 53/20; 12/5; 5/2; 12/5; 9/4; 5/2; 23/10; 9/4; 11/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 23/10
Torquay; 10/3; 10/3; 18/5; 7/2; 77/20; 10/3; 7/2; 31/10; 18/5; 10/3; 16/5; 17/5; 16/5; 16/5; 7/2; 3; 38/11; 31/10; 18/5; 7/2; 7/2; 7/2; 7/2
