META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-22 12:17:52 GMT+2; 2018-01-27 15:00; e70300-dr003
Maidenhead Utd; 5/6; 8/11; 4/5; ; 17/20; 8/11; 3/4; ; ; 4/5; 4/5; 3/4; ; ; ; 8/11; 3/4; 10/13; 3/4; ; ; 4/5; 4/5; 4/5; 10/13; ; ; 
Draw; 5/2; 14/5; 5/2; ; 66/25; 5/2; 5/2; ; ; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 12/5; 13/5; ; ; 13/5; 27/10; 13/5; 27/11; ; ; 
Chester; 10/3; 16/5; 16/5; ; 15/4; 10/3; 16/5; ; ; 16/5; 10/3; 3; ; ; ; 3; 16/5; 31/10; 16/5; ; ; 100/ 30; 33/10; 16/5; 41/13; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 02:17:20 GMT+2; 2018-01-27 15:00; e70300-dr003
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/6; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; 11/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 17:23:58 GMT+2; 2018-01-27 15:00; e70300-dr003
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/6; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; 11/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-24 12:19:08 GMT+2; 2018-01-27 15:00; e70300-dr003
Maidenhead Utd; 5/6; 17/20; 4/5; ; 43/50; 3/4; 4/5; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 4/5; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/6; 8/11; 
Draw; 5/2; 13/5; 12/5; ; 133/ 50; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 23/10; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; ; 11/5; 11/5; 
Chester; 10/3; 16/5; 16/5; ; 73/20; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 3; 16/5; 31/10; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 41/13; ; 14/5; 14/5; 
