META; english/premier-league/brighton-v-man-utd; 2018-04-28 12:14:34 GMT+3; 2018-05-04 20:00; e70300-dr003
Man Utd; 8/15; 8/15; 59/00; 11/20; 5/9; 4/9; 6/11; 8/15; 4/7; 4/7; 4/7; 8/15; 8/15; 5/9; 6/11; 4/7; 8/15; 1/2; 1/2
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 14/5; 3; 3; 37/13; 29/10; 16/5; 3; 27/10; 11/4; ; ; 
Brighton; 5; 28/5; 11/2; 5; 21/4; 11/2; 5; 5; 11/2; 5; 51/10; 11/2; 96/19; 23/5; 24/5; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-30 14:31:46 GMT+3; 2018-05-04 20:00; e70300-dr003
Man Utd; 8/13; 8/13; 13/20; 18/25; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 6/10; 4/6; 4/6; 4/6; 4/6; 11/17; 13/19; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 3; 74/25; 29/10; 14/5; 11/4; 56/19; 14/5; 14/5; 3; 14/5; 3; 14/5; 14/5; 14/5; 56/19; 56/19; 3; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5; 
Brighton; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 4; 17/4; 17/4; 4; 43/10; 9/2; 21/5; 22/5; 9/2; 74/17; 4; 22/5; 23/5; 22/5; 9/2; 
META; english/premier-league/brighton-v-man-utd; 2018-05-01 12:11:54 GMT+3; 2018-05-04 20:00; e70300-dr003
Man Utd; 4/6; 8/13; 4/6; 13/20; 18/25; 4/6; 4/6; 8/13; 13/19; 4/6; 7/10; 7/10; 5/7; 7/10; 7/10; 4/6; 9/13; 11/17; 13/19; 13/19; 7/10; 9/13; 4/6; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 3; 11/4; 3; 74/25; 29/10; 14/5; 11/4; 56/19; 11/4; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 37/13; 14/5; 56/19; 56/19; 29/10; 37/13; 11/4; 14/5; 14/5; 14/5; 3
Brighton; 4; 9/2; 4; 9/2; 4; 4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 39/10; 22/5; 43/10; 4; 21/5; 22/5; 21/5; 22/5; ; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-02 11:02:46 GMT+3; 2018-05-04 20:00; e70300-dr003
Man Utd; 4/6; 8/11; 7/10; 7/10; 37/50; 7/10; 7/10; 8/13; 9/13; 7/10; 4/6; 7/10; 5/7; 7/10; 7/10; 7/10; 5/7; 11/17; 13/18; 9/13; 7/10; 5/7; 8/11; 4/6; 8/11; 4/6; 8/11
Draw; 11/4; 13/5; 27/10; 13/5; 73/25; 29/10; 11/4; 11/4; 37/13; 27/10; 3; 13/5; 13/5; 11/4; 14/5; 11/4; 14/5; 14/5; 29/10; 37/13; 29/10; 37/13; 14/5; 14/5; 14/5; 14/5; 14/5
Brighton; 4; 19/5; 4; 22/5; 4; 4; 41/10; 4; 9/2; 4; 4; 4; 21/5; 9/2; 75/19; 4; 22/5; 17/4; 17/4; 21/5; 21/5; 22/5; 22/5; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-03 12:38:32 GMT+3; 2018-05-04 20:00; e70300-dr003
Man Utd; 8/11; 8/11; 7/10; 7/10; 37/50; 7/10; 7/10; 8/13; 13/18; 7/10; 7/10; 7/10; 5/7; 8/11; 7/10; 7/10; 14/19; 11/17; 5/7; 7/10; 8/11; 10/13; 8/11; 4/6; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 13/5; 13/5; 143/0; 3; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 14/5; 14/5; 45/17; 14/5; 11/4; 14/5; 5/2; 14/5
Brighton; 9/2; 17/4; 4; 9/2; 9/2; 4; 49/11; 4; 9/2; 4; 17/4; 4; 21/5; 9/2; 41/10; 43/10; 9/2; 21/5; 17/4; 22/5; 9/2; 23/5; 23/5; ; ; ; 
