META; english/premier-league/huddersfield-v-stoke; 2017-12-20 12:11:16 GMT+2; 2017-12-26 15:00; e70300-dr003
Huddersfield; 31/20; 6/4; 8/5; 8/5; 28/17; 13/8; 13/8; 6/4; 8/5; 31/20; 8/5; 13/8; 8/5; 13/8; 17/10; 6/4; 28/17; 8/5; 167/ 100; 52/35; 8/5; 13/8; 17/10; 8/5; 8/5; ; 27/20; ; 
Stoke; 7/4; 9/5; 28/15; 19/10; 9/5; 19/10; 19/10; 7/4; 24/13; 9/5; 15/8; 19/10; 15/8; 19/10; 19/10; 9/5; 9/5; 19/10; 2; 31/18; 24/13; 15/8; 2; 37/20; 19/10; ; 7/4; ; 
Draw; 9/4; 11/5; 2; 2; 2; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 2; 9/4; 41/20; 2; 2; 2; 2; 9/4; 11/5; 21/10; 11/5; 21/10; 21/10; 2; ; 2; ; 
META; english/premier-league/huddersfield-v-stoke; 2017-12-26 12:41:47 GMT+2; 2017-12-26 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 29/20; 23/15; 6/4; 6/4; 6/4; 7/5; 29/20; 6/4; 6/4; 16/11; 16/11; 16/11; 17/12; 6/4; 6/4; 6/4; 29/20; 16/11; ; 7/5; 7/5; 6/4
Stoke; 11/5; 19/10; 21/10; 21/10; 9/4; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 11/5; 2; 21/10; 21/10; 21/10; 2; 28/13; 2; 28/13; 21/10; 2; 85/40; 21/10; 28/13; ; 21/10; 21/10; 11/5
Draw ; 11/5; 23/10; 11/5; 21/10; 9/4; 23/10; 11/5; 21/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 9/4; 11/5; 11/5; ; 21/10; 21/10; 9/4
META; english/premier-league/huddersfield-v-stoke; 2017-12-26 13:00:49 GMT+2; 2017-12-26 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 16/11; 6/4; 149/ 100; 6/4; 6/4; 29/20; 23/15; 29/20; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 16/11; 16/11; 16/11; 17/12; 6/4; 6/4; 6/4; 29/20; 16/11; ; 7/5; 7/5; 6/4
Stoke; 11/5; 19/10; 21/10; 21/10; 56/25; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 28/13; 21/10; 2; 85/40; 21/10; 28/13; ; 21/10; 21/10; 11/5
Draw ; 11/5; 23/10; 11/5; 21/10; 57/25; 23/10; 11/5; 21/10; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 23/10; 11/5; 11/5; ; 21/10; 21/10; 23/10
META; english/premier-league/huddersfield-v-stoke; 2017-12-26 13:01:21 GMT+2; 2017-12-26 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 16/11; 6/4; 149/ 100; 6/4; 6/4; 29/20; 23/15; 29/20; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 16/11; 16/11; 16/11; 17/12; 6/4; 6/4; 6/4; 29/20; 16/11; ; 7/5; 7/5; 6/4
Stoke; 11/5; 19/10; 21/10; 21/10; 56/25; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 28/13; 21/10; 2; 85/40; 21/10; 28/13; ; 21/10; 21/10; 11/5
Draw ; 11/5; 23/10; 11/5; 21/10; 57/25; 23/10; 11/5; 21/10; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 23/10; 11/5; 11/5; ; 21/10; 21/10; 23/10
META; english/premier-league/huddersfield-v-stoke; 2017-12-26 13:05:22 GMT+2; 2017-12-26 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 16/11; 6/4; 149/ 100; 6/4; 6/4; 29/20; 23/15; 29/20; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 16/11; 16/11; 16/11; 13/9; 6/4; 6/4; 6/4; 29/20; 16/11; ; 7/5; 7/5; 6/4
Stoke; 11/5; 19/10; 21/10; 21/10; 56/25; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 85/40; 21/10; 28/13; ; 21/10; 21/10; 11/5
Draw ; 11/5; 23/10; 11/5; 21/10; 57/25; 23/10; 11/5; 21/10; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 23/10; 11/5; 11/5; ; 21/10; 21/10; 23/10
