META; english/premier-league/liverpool-v-burnley; 2017-08-25 20:13:32 GMT+3; 2017-09-16 15:00; e70300-dr003
Liverpool; ; ; ; ; ; ; ; 1/5; ; ; ; ; 2/9; ; ; ; 1/4; ; ; 13/50; ; ; ; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; 5; ; ; ; 5; ; ; 11/2; ; ; ; ; 5; ; ; ; 
Burnley; ; ; ; ; ; ; ; 13; ; ; ; ; 12; ; ; ; 9; ; ; 14; ; ; ; ; 12; ; ; ; 
META; english/premier-league/liverpool-v-burnley; 2017-08-28 14:19:29 GMT+3; 2017-09-16 15:00; e70300-dr003
Liverpool; ; ; ; ; ; ; ; 1/5; 1/4; ; ; ; 2/9; ; ; 1/4; 1/4; 1/4; ; 1/4; ; 1/4; ; 1/4; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; 5; ; ; ; 5; ; ; 5; 5; 5; ; 57/10; ; 5; ; 21/4; 5; ; ; ; 
Burnley; ; ; ; ; ; ; ; 13; 11; ; ; ; 12; ; ; 12; 9; 21/2; ; 14; ; 21/2; ; 12; 11; ; ; ; 
META; english/premier-league/liverpool-v-burnley; 2017-09-04 20:14:06 GMT+3; 2017-09-16 15:00; e70300-dr003
Liverpool; 1/5; 1/5; ; ; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 1/5; 2/9; 2/9; 1/5; 2/9; 1/5; 1/4; 1/4; 3/14; 6/25; 3/14; 1/4; ; 1/4; 1/5; ; 1/5; ; 
Draw; 11/2; 11/2; ; ; 11/2; 11/2; 11/2; 5; 5; 24/5; 19/4; 5; 5; 11/2; 11/2; 23/5; 5; 5; 26/5; 57/10; 5; 5; ; 11/2; 11/2; ; 19/10; ; 
Burnley; 12; 12; ; ; 11; 12; 16; 12; 11; 12; 12; 12; 12; 14; 12; 21/2; 9; 21/2; 12; 16; 10; 21/2; ; 12; 12; ; 4/11; ; 
META; english/premier-league/liverpool-v-burnley; 2017-09-07 19:14:52 GMT+3; 2017-09-16 15:00; e70300-dr003
Liverpool; 1/5; 1/5; 2/9; ; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 1/5; 2/9; 2/9; 1/5; 2/9; 1/5; 1/4; 1/4; 3/14; 6/25; 3/14; 1/4; ; 1/4; 1/5; ; 1/5; ; 
Draw; 11/2; 11/2; 5; ; 5; 11/2; 11/2; 11/2; 5; 24/5; 19/4; 5; 5; 11/2; 11/2; 51/10; 5; 5; 26/5; 57/10; 5; 5; ; 11/2; 11/2; ; 24/5; ; 
Burnley; 12; 12; 12; ; 11; 12; 16; 14; 11; 12; 12; 12; 12; 14; 12; 21/2; 9; 21/2; 12; 16; 10; 21/2; ; 12; 12; ; 64/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-09-15 11:49:50 GMT+3; 2017-09-16 15:00; e70300-dr003
Liverpool; 1/4; 1/4; 1/4; 2/7; 1/4; 5/18; 1/4; 1/4; 3/11; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 5/18; 5/19; 1/4; 4/17; 7/25; 5/19; ; 1/5; 1/4; 1/4; ; 1/4; 1/4; 2/7
Draw; 57/10; 19/4; 19/4; 9/2; 5; 5; 11/2; 5; 21/4; 19/4; 19/4; 9/2; 5; 5; 5; 5; 19/4; 51/10; 26/5; 53/10; 23/5; ; 11/2; 21/4; 5; ; 26/5; 26/5; 26/5
Burnley; 12; 10; 11; 9; 12; 11; 12; 11; 227/19; 11; 12; 10; 12; 12; 9; 11; 11; 23/2; 49/4; 25/2; 41/5; ; 12; 10; 11; ; 59/5; 11; 57/5
