META; english/premier-league/man-utd-v-chelsea; 2018-02-05 12:43:48 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; 6/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; 9/4; ; ; ; 
Chelsea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; 
META; english/premier-league/man-utd-v-chelsea; 2018-02-07 14:12:43 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd; 10/11; 19/20; 1; 6/5; 53/50; ; ; ; 11/10; 1; ; 1; ; 1; 1; 19/20; 1; 1; 68/67; 11/10; 21/20; 1; 19/20; 1; ; 20/21; ; 
Draw; 23/10; 12/5; 9/4; 11/5; 12/5; ; ; ; 9/4; 11/5; ; 23/10; ; 47/20; 23/10; 23/10; 9/4; 5/2; 40/17; 9/4; 12/5; 12/5; 47/20; 23/10; ; 9/4; ; 
Chelsea; 16/5; 3; 14/5; 12/5; 13/4; ; ; ; 13/5; 14/5; ; 14/5; ; 29/10; 3; 3; 29/10; 27/10; 5/2; 13/5; 3; 16/5; 3; 56/19; ; 14/5; ; 
META; english/premier-league/man-utd-v-chelsea; 2018-02-12 20:46:08 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd; 1; 1; 1; 6/5; 21/20; 21/20; 1; 1; 19/20; 1; 1; 1; 21/20; 21/20; 1; 19/20; 19/20; 1; 39/40; 19/20; 21/20; 21/20; 19/20; 1; ; 1; 20/21; 
Draw; 23/10; 23/10; 9/4; 11/5; 121/50; 12/5; 23/10; 23/10; 40/17; 11/5; 12/5; 23/10; 5/2; ; 23/10; 21/10; 23/10; 12/5; 12/5; 40/17; 12/5; 12/5; 47/20; 23/10; ; 11/5; 9/4; 
Chelsea; 14/5; 29/10; 29/10; 12/5; 13/4; 16/5; 29/10; 3; 16/5; 14/5; 3; 14/5; 14/5; ; 3; 11/4; 56/19; 14/5; 13/5; 16/5; 3; 31/10; 3; 56/19; ; ; 12/5; 
META; english/premier-league/man-utd-v-chelsea; 2018-02-16 18:35:12 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd; 1; 11/10; 11/10; 1; 57/50; 21/20; ; 1; 68/67; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 1; 21/20; 11/10; 21/20; 68/67; 11/10; 11/10; 11/10; ; ; 11/10; 11/10; 23/20
Draw; 23/10; 23/10; 11/5; 12/5; 59/25; 23/10; ; 9/4; 40/17; 11/5; 12/5; 9/4; 12/5; 9/4; 9/4; 21/10; 9/4; 11/5; 40/17; 40/17; 23/10; 12/5; 23/10; 9/4; ; 9/4; 11/5; 9/4
Chelsea; 14/5; 13/5; 13/5; 14/5; 3; 29/10; 11/4; 11/4; 3; 5/2; 11/4; 13/5; 5/2; 13/5; 11/4; 5/2; 27/10; 14/5; 12/5; 3; 11/4; 29/10; 13/5; 11/4; ; 27/10; 11/5; 13/5
META; english/premier-league/man-utd-v-chelsea; 2018-02-19 16:15:36 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd; 1; 11/10; 11/10; 6/5; 29/25; 11/10; ; 1; 15/13; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 1; ; 11/10; 12/11; 15/13; 11/10; 11/10; 11/10; 11/10; ; 21/20; ; 10/9
Draw; 23/10; 23/10; 11/5; 23/10; 47/20; 23/10; 9/4; 11/5; 9/4; 11/5; 23/10; 23/10; 12/5; 23/10; 9/4; 21/10; 11/5; 11/5; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/4; ; 12/5
Chelsea; 14/5; 13/5; 13/5; 12/5; 147/50; 14/5; 11/4; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 45/17; 14/5; 27/10; 27/10; 11/4; 14/5; 13/5; 27/10; ; 11/4; ; 14/5
META; english/premier-league/man-utd-v-chelsea; 2018-02-20 12:14:33 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd; 1; 11/10; 11/10; 6/5; 117/ 100; 11/10; ; 1; 15/13; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 1; ; 11/10; 12/11; 15/13; 11/10; 11/10; 11/10; 11/10; ; 21/20; ; 10/9
Draw; 23/10; 23/10; 9/4; 23/10; 59/25; 23/10; 23/10; 11/5; 9/4; 11/5; 23/10; 23/10; 12/5; 23/10; 9/4; 21/10; 9/4; 11/5; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/4; ; 12/5
Chelsea; 14/5; 13/5; 13/5; 12/5; 29/10; 11/4; 13/5; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 45/17; 14/5; 27/10; 27/10; 11/4; 14/5; 13/5; 27/10; ; 13/5; ; 14/5
META; english/premier-league/man-utd-v-chelsea; 2018-02-24 12:13:32 GMT+2; 2018-02-25 14:05; e70300-dr003
Man Utd ; 13/10; 5/4; 5/4; 6/5; 34/25; 13/10; 13/10; 1; 25/19; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 17/13; 23/18; 13/10; ; 5/4; 13/10; ; 13/10; 11/8; 11/8
