META; english/premier-league/newcastle-v-leicester; 2017-12-01 18:22:04 GMT+2; 2017-12-09 17:30; e70300-dr003
Newcastle; 7/5; 3/2; 16/11; ; 16/11; 6/4; 6/4; 6/4; 16/11; 29/20; 29/20; 29/20; ; 29/20; 6/4; 7/5; 16/11; 16/11; 31/20; 17/12; 16/11; ; 6/4; 29/20; 16/11; ; 5/4; ; 
Leicester; 19/10; 9/5; 28/15; ; 37/19; 2; 19/10; 2; 19/10; 15/8; 2; 9/5; ; 39/20; 19/10; 19/10; 37/19; 19/10; 52/25; 16/9; 19/10; ; 21/10; 19/10; 37/19; ; 7/4; ; 
Draw; 9/4; 9/4; 11/5; ; 9/4; 9/4; 9/4; 9/4; 9/4; 11/5; 9/4; 23/10; ; 9/4; 9/4; 21/10; 9/4; 11/5; 47/20; 9/4; 9/4; ; 9/4; 23/10; 11/5; ; 21/10; ; 
META; english/premier-league/newcastle-v-leicester; 2017-12-07 10:51:37 GMT+2; 2017-12-09 17:30; e70300-dr003
Newcastle; 6/4; 6/4; 17/11; 6/4; 28/17; 13/8; 8/5; 8/5; 5/3; 31/20; 6/4; 8/5; ; 31/20; 17/10; 8/5; 28/17; 8/5; 17/10; 23/15; 13/8; 8/5; 13/8; 31/20; 28/17; ; 13/8; 8/5; 
Leicester; 9/5; 9/5; 7/4; 9/5; 7/4; 9/5; 9/5; 9/5; 15/8; 9/5; 19/10; 9/5; ; 9/5; 9/5; 15/8; 7/4; 24/13; 191/100; 24/13; 24/13; 9/5; 19/10; 7/4; 24/13; ; 9/5; 9/5; 
Draw; 9/4; 23/10; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 9/4; 21/10; ; 23/10; 21/10; 11/5; 11/5; 9/4; 58/25; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; ; 11/5; 11/5; 
META; english/premier-league/newcastle-v-leicester; 2017-12-08 12:09:51 GMT+2; 2017-12-09 17:30; e70300-dr003
Newcastle; 13/8; 6/4; 6/4; 6/4; 17/11; 13/8; 8/5; 8/5; 5/3; 6/4; 13/8; 8/5; 7/4; 31/20; 17/10; 6/4; 17/11; 8/5; 33/20; 23/15; 13/8; 8/5; 13/8; 31/20; 8/5; ; 13/8; 6/4; 13/8
Leicester; 19/10; 19/10; 9/5; 9/5; 19/10; 9/5; 15/8; 9/5; 15/8; 9/5; 19/10; 15/8; 6/4; 15/8; 9/5; 15/8; 19/10; 19/10; 39/20; 24/13; 24/13; 15/8; 19/10; 7/4; 19/10; ; 9/5; 15/8; 19/10
Draw; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 21/10; 9/4; 11/5; 11/5; 117/50; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; ; 11/5; 21/10; 23/10
