META; english/premier-league/swansea-v-man-city; 2017-12-07 10:51:59 GMT+2; 2017-12-13 19:45; e70300-dr003
Man City; ; 2/9; 2/9; ; 2/9; 1/5; 1/5; 1/5; 3/14; 2/9; 2/11; 1/5; ; 2/9; ; ; 2/9; 3/16; 21/100; 1/5; 3/14; 1/5; 1/5; 2/11; 3/16; ; 2/9; ; 
Draw; ; 11/2; ; ; 6; 6; 6; 6; 23/4; 5; 6; 11/2; ; 11/2; ; ; 6; 29/5; 13/2; 27/5; 23/4; 6; 13/2; 6; 76/13; ; 24/5; ; 
Swansea; ; 11; 12; ; 10; 16; 12; 16; 25/2; 12; 16; 12; ; 13; ; ; 10; 47/4; 17; 10; 12; 12; 14; 16; 12; ; 17/2; ; 
META; english/premier-league/swansea-v-man-city; 2017-12-08 12:10:16 GMT+2; 2017-12-13 19:45; e70300-dr003
Man City; ; 1/5; 1/5; ; 1/5; 1/5; 1/5; 1/5; 3/14; 1/5; 2/11; 1/5; ; 1/5; 2/9; ; 1/5; 3/16; 2/9; 1/5; 3/14; 1/5; 2/11; 2/11; 3/16; ; 2/9; ; 
Draw; ; 11/2; ; ; 25/4; 6; 6; 6; 23/4; 11/2; 6; 11/2; ; 11/2; 11/2; ; 25/4; 29/5; 13/2; 27/5; 23/4; 6; 13/2; 6; 76/13; ; 24/5; ; 
Swansea; ; 12; 14; ; 11; 16; 14; 16; 25/2; 14; 16; 12; ; 13; 12; ; 11; 47/4; 29/2; 10; 12; 14; 17; 16; 12; ; 17/2; ; 
META; english/premier-league/swansea-v-man-city; 2017-12-11 18:10:50 GMT+2; 2017-12-13 19:45; e70300-dr003
Man City; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; 2/9; 1/5; 1/4; 1/4; 2/9; 1/4; 2/9; 1/4; 2/9; 2/9; 2/9; 4/17; 13/50; 1/4; 3/13; 1/4; 2/9; 2/9; 4/17; ; 1/4; 2/9; 1/4
Draw; 11/2; 11/2; 5; 11/2; 11/2; 6; 11/2; 11/2; 29/5; 5; 6; 5; 5; 11/2; 6; 11/2; 11/2; 96/19; 59/10; 28/5; 23/4; 11/2; 11/2; 11/2; 51/10; ; 26/5; 26/5; 29/5
Swansea; 12; 10; 12; 14; 12; 14; 12; 13; 25/2; 12; 14; 12; 12; 13; 10; 12; 12; 53/4; 12; 21/2; 12; 11; 14; 12; 53/4; ; 66/5; 13; 67/5
META; english/premier-league/swansea-v-man-city; 2017-12-12 10:55:27 GMT+2; 2017-12-13 19:45; e70300-dr003
Man City; 1/4; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 2/9; 1/4; 2/9; 4/17; 1/4; 1/4; 3/13; 1/4; 1/4; 2/9; 1/4; ; 1/4; 2/9; 1/4
Draw; 11/2; 11/2; 5; 5; 11/2; 6; 11/2; 11/2; 29/5; 5; 11/2; 5; 5; 11/2; 6; 5; 11/2; 5; 29/5; 28/5; 23/4; 21/4; 11/2; 21/4; 96/19; ; 11/2; 27/5; 28/5
Swansea; 14; 10; 12; 12; 12; 14; 12; 12; 25/2; 12; 12; 12; 12; 13; 10; 12; 12; 53/4; 27/2; 21/2; 12; 11; 14; 14; 53/4; ; 69/5; 12; 62/5
META; english/premier-league/swansea-v-man-city; 2017-12-13 12:41:15 GMT+2; 2017-12-13 19:45; e70300-dr003
Man City; 2/9; 2/9; 1/4; 1/4; 2/9; 1/4; 2/9; 1/4; 4/17; ; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; 4/17; 1/4; 5/19; 2/9; 1/4; 1/4; 2/9; 4/17; ; 1/4; 2/9; 1/4
Draw; 6; 5; 5; 5; 11/2; 11/2; 11/2; 5; 76/13; ; 6; 5; 5; 11/2; 11/2; 11/2; 11/2; 51/10; 6; 53/10; 23/4; 11/2; 11/2; 21/4; 51/10; ; 11/2; 27/5; 28/5
Swansea; 14; 10; 12; 12; 23/2; 13; 12; 11; 13; ; 11; 11; 12; 13; 12; 12; 23/2; 53/4; 13; 10; 13; 11; 12; 14; 53/4; ; 66/5; 13; 69/5
