META; english/premier-league/tottenham-v-stoke; 2017-12-01 18:22:00 GMT+2; 2017-12-09 15:00; e70300-dr003
Tottenham; 2/9; 1/4; 5/18; ; 1/4; 2/9; 1/4; 2/9; 1/4; 2/7; 1/4; 1/4; ; 2/7; 2/7; 2/9; 1/4; 3/11; 3/10; 3/11; 1/4; ; 1/4; 1/4; 3/11; ; 2/9; ; 
Draw; 5; 5; 9/2; ; 5; 5; 5; 5; 5; 9/2; 5; 9/2; ; 9/2; 5; 9/2; 5; 24/5; 11/2; 9/2; 5; ; 21/4; 9/2; 63/13; ; 14/5; ; 
Stoke; 11; 10; 10; ; 11; 12; 11; 12; 11; 10; 12; 10; ; 10; 9; 19/2; 11; 35/4; 10; 39/5; 21/2; ; 12; 11; 35/4; ; 23/5; ; 
META; english/premier-league/tottenham-v-stoke; 2017-12-07 10:51:34 GMT+2; 2017-12-09 15:00; e70300-dr003
Tottenham; 1/4; 2/7; 5/18; 1/4; 5/19; 1/4; 2/7; 1/4; 3/10; 2/7; 1/4; 1/4; ; 2/7; 2/7; 1/4; 5/19; 3/11; 31/100; 3/11; 5/18; 3/10; 2/7; 1/4; 3/11; ; 2/7; 2/7; 3/10
Draw; 19/4; 9/2; 9/2; 5; 5; 5; 5; 5; 51/10; 19/4; 5; 9/2; ; 9/2; 5; ; 5; 51/10; 26/5; 5; 5; 5; 5; 9/2; 67/13; ; 23/5; 23/5; 
Stoke; 10; 9; 10; 10; 21/2; 11; 19/2; 11; 41/4; 11; 11; 10; ; 10; 9; ; 21/2; 39/4; 10; 19/2; 10; 9; 12; 11; 10; ; 57/5; 11; 
META; english/premier-league/tottenham-v-stoke; 2017-12-08 12:09:48 GMT+2; 2017-12-09 15:00; e70300-dr003
Tottenham; 2/7; 2/7; 5/18; 1/4; 5/19; 1/4; 2/7; 1/4; 3/10; 2/7; 2/7; 2/7; 27/100; 2/7; 2/7; 2/7; 5/19; 2/7; 3/10; 5/19; 5/18; 3/10; 2/7; 1/4; 2/7; ; 2/7; 2/7; 3/10
Draw; 11/2; 9/2; 9/2; 5; 5; 5; 5; 5; 51/10; 19/4; 5; 9/2; 9/2; 5; 5; ; 5; 49/10; 53/10; 51/10; 5; 21/4; 21/4; 9/2; 94/19; ; 24/5; 23/5; 26/5
Stoke; 10; 9; 10; 10; 21/2; 11; 19/2; 11; 41/4; 11; 11; 11; 10; 11; 9; ; 21/2; 19/2; 21/2; 19/2; 10; 9; 10; 11; 19/2; ; 52/5; 51/5; 57/5
