META; spain/la-liga-primera/alaves-v-fc-barcelona; 2017-08-15 20:18:01 GMT+3; 2017-08-26 17:15; e70300-dr003
FC Barcelona; ; ; ; ; ; 2/7; ; ; 5/18; ; ; ; 1/4; ; ; ; 5/19; 1/4; ; 27/100; ; 5/18; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; 5; ; ; 9/2; ; ; ; 19/4; ; ; ; 9/2; 22/5; ; 11/2; ; 22/5; ; ; ; ; 23/10; ; 
Alaves; ; ; ; ; ; 10; ; ; 17/2; ; ; ; 11; ; ; ; 9; 17/2; ; 25/2; ; 17/2; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/alaves-v-fc-barcelona; 2017-08-16 20:04:59 GMT+3; 2017-08-26 17:15; e70300-dr003
FC Barcelona; ; ; ; ; ; 2/7; ; ; 5/18; ; ; ; 1/4; ; ; ; 5/19; 5/18; ; 27/100; ; 5/18; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; 5; ; ; 9/2; ; ; ; 19/4; ; ; ; 9/2; 22/5; ; 11/2; ; 22/5; ; ; ; ; 23/10; ; 
Alaves; ; ; ; ; ; 10; ; ; 17/2; ; ; ; 11; ; ; ; 9; 17/2; ; 25/2; ; 17/2; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/alaves-v-fc-barcelona; 2017-08-25 20:15:55 GMT+3; 2017-08-26 17:15; e70300-dr003
FC Barcelona; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 4/13; 33/100; 2/7; 2/7; 1/3; 3/10; 3/10; ; 3/10; 3/10; 1/3
Draw; 19/4; 17/4; 9/2; 4; 9/2; 19/4; 5; 9/2; 23/5; 17/4; 17/4; 4; 9/2; 9/2; 5; 9/2; 9/2; 23/5; 43/10; 24/5; 5; 23/5; 4; 9/2; 9/2; ; 24/5; 24/5; 5
Alaves; 9; 17/2; 10; 10; 9; 9; 10; 8; 9; 9; 10; 9; 10; 9; 9; 9; 9; 9; 9; 10; 44/5; 9; 8; 17/2; 9; ; 10; 51/5; 48/5
