META; spain/la-liga-primera/valencia-v-real-sociedad; 2018-02-12 20:49:16 GMT+2; 2018-02-25 17:30; e70300-dr003
Valencia; 4/5; ; 4/5; 5/6; 5/6; 17/20; 3/4; 8/11; 3/4; 4/5; ; 4/5; ; 5/6; 5/6; 3/4; 10/13; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 10/13; ; 4/5; ; 
Draw; 13/5; ; 14/5; 14/5; 29/10; 29/10; 14/5; 11/4; 3; 14/5; ; 14/5; ; 29/10; 3; 13/5; 37/13; 13/5; 3; 56/19; 3; 3; 3; 29/10; ; 27/10; ; 
Real Sociedad; 10/3; ; 3; 3; 37/10; 31/10; 3; 3; 13/4; 29/10; ; 3; ; 3; 3; 14/5; 3; 7/2; 13/5; 16/5; 3; 31/10; 3; 58/19; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-real-sociedad; 2018-02-16 18:38:17 GMT+2; 2018-02-25 17:30; e70300-dr003
Valencia; 8/11; ; 3/4; 5/6; 83/ 100; 4/5; 8/11; 8/11; 3/4; 8/11; ; 3/4; ; 3/4; 5/6; 7/10; 5/7; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 5/7; ; 8/11; ; 
Draw; 11/4; ; 29/10; 14/5; 147/ 50; 3; 29/10; 11/4; 3; 29/10; ; 3; ; 29/10; 3; 11/4; 56/19; ; 3; 56/19; 3; 3; 3; 3; ; 14/5; ; 
Real Sociedad; 7/2; ; 13/4; 3; 73/20; 16/5; 16/5; 3; 13/4; 13/4; ; 10/3; ; 10/3; 3; 3; 13/4; 7/2; 37/13; 16/5; 3; 17/5; 10/3; 33/10; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-real-sociedad; 2018-02-19 16:18:14 GMT+2; 2018-02-25 17:30; e70300-dr003
Valencia; 13/20; 4/6; 4/6; 7/10; 7/10; 7/10; 4/6; 8/13; 13/18; 4/6; 4/6; 4/6; 3/4; 4/6; 4/6; 8/13; 11/17; 7/10; 9/13; 13/18; 8/13; 4/6; 4/6; 11/17; ; 8/13; ; 4/6
Draw; 3; 16/5; 3; 3; 17/5; 16/5; 3; 11/4; 31/10; 3; 16/5; 3; 3; 31/10; 16/5; 14/5; 31/10; 27/10; 17/5; 3; 3; 33/10; 16/5; 31/10; ; 13/5; ; 3
Real Sociedad; 15/4; 18/5; 15/4; 7/2; 4; 15/4; 7/2; 7/2; 7/2; 18/5; 18/5; 15/4; 16/5; 15/4; 15/4; 7/2; 15/4; 15/4; 7/2; 17/5; 7/2; 18/5; 7/2; 19/5; ; 10/3; ; 7/2
META; spain/la-liga-primera/valencia-v-real-sociedad; 2018-02-20 12:17:09 GMT+2; 2018-02-25 17:30; e70300-dr003
Valencia; 13/20; 4/6; 7/10; 7/10; 19/25; 7/10; 4/6; 8/13; 4/6; 7/10; 7/10; 8/11; ; 7/10; 8/11; 4/6; 4/6; 7/10; 13/18; 4/6; 4/6; 7/10; 7/10; 9/13; ; 4/6; ; 4/6
Draw; 3; 16/5; 3; 3; 13/4; 16/5; 3; 11/4; 16/5; 29/10; 3; 14/5; ; 3; 16/5; 14/5; 3; 27/10; 16/5; 31/10; 3; 16/5; 16/5; 58/19; ; 14/5; ; 3
Real Sociedad; 15/4; 18/5; 17/5; 7/2; 15/4; 15/4; 7/2; 7/2; 37/10; 17/5; 18/5; 7/2; ; 18/5; 100/ 30; 33/10; 18/5; 15/4; 7/2; 37/10; 100/ 30; 7/2; 10/3; 62/17; ; 10/3; ; 7/2
META; spain/la-liga-primera/valencia-v-real-sociedad; 2018-02-24 12:16:26 GMT+2; 2018-02-25 17:30; e70300-dr003
Valencia; 4/6; 7/10; 4/6; 7/10; 37/50; 4/6; 7/10; 8/13; 7/10; 4/6; 4/6; 4/6; 7/10; 8/11; 8/11; 8/13; 9/13; 7/10; 9/13; 7/10; 4/6; 8/11; 7/10; 9/13; ; 4/6; 8/11; 4/6
Draw; 3; 3; 3; 11/4; 13/4; 16/5; 3; 3; 31/10; 3; 3; 3; 16/5; 31/10; 3; 14/5; 58/19; 31/10; 41/13; 31/10; 3; 31/10; 16/5; 31/10; ; 3; 3; 3
Real Sociedad; 4; 7/2; 18/5; 19/5; 39/10; 15/4; 7/2; 7/2; 37/10; 7/2; 19/5; 7/2; 7/2; 37/10; 7/2; 7/2; 62/17; 18/5; 19/5; 18/5; 7/2; 19/5; 7/2; 37/10; ; 7/2; 7/2; 7/2
