META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-12 10:30:56 GMT+2; 2018-03-17 19:00; e70300-dr003
Cadiz; 1/33; 8/5
Draw; 1/100; 9/5
Leonesa; 1/33; 9/5
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-12 20:22:59 GMT+2; 2018-03-17 19:00; e70300-dr003
Cadiz; 1/50; 8/5
Draw; 1/100; 9/5
Leonesa; 1/50; 9/5
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-13 12:25:56 GMT+2; 2018-03-17 19:00; e70300-dr003
Cadiz; 1/33; 8/5
Draw; 1/100; 9/5
Leonesa; 1/33; 9/5
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-13 20:23:38 GMT+2; 2018-03-17 19:00; e70300-dr003
Cadiz; 17/10; 13/8; 33/20; 17/10; 91/50; 8/5; 9/5; 33/20; 17/10; 7/4; 17/10; 28/17; 28/17; 17/11; 7/4; 9/5; 33/20; 17/10; 1; 7/4
Leonesa; 9/5; 7/4; 33/20; 17/10; 37/20; 17/10; 17/10; 33/20; 17/10; 7/4; 17/10; 28/17; 28/17; 17/11; 28/17; 9/5; 9/5; 17/10; 1; 9/5
Draw; 2; 19/10; 2; 19/10; 85/40; 15/8; 2; 19/10; 19/10; 19/10; 37/19; 11/5; 2; 37/19; 2; 37/19; 6/5; 2; ; 
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-14 20:22:23 GMT+2; 2018-03-17 19:00; e70300-dr003
Leonesa; 13/8; 13/8; 31/20; 17/10; 43/25; 8/5; 13/8; 8/5; 17/10; 31/20; 8/5; 13/8; 8/5; 8/5; 13/8; 8/5; 17/11; 28/17; 52/35; 28/17; 17/10; 8/5; 8/5; 7/5; 6/4; 6/4; 13/8
Cadiz; 15/8; 7/4; 7/4; 17/10; 191/00; 13/8; 7/4; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 28/17; 17/10; 7/4; 19/10; 37/20; 24/13; 13/8; 13/8; 7/4; 19/10
Draw; 2; 19/10; 2; 19/10; 109/0; 15/8; 15/8; 15/8; 2; 2; 19/10; 2; 2; 2; 11/5; 39/19; 37/19; 2; 39/19; 19/10; 19/10; 19/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-15 13:15:13 GMT+2; 2018-03-17 19:00; e70300-dr003
Leonesa; 13/8; 13/8; 8/5; 17/10; 181/00; 8/5; 13/8; 8/5; 17/10; 8/5; 13/8; 13/8; 8/5; 8/5; 13/8; 8/5; 28/17; 28/17; 52/35; 28/17; 17/10; 13/8; 28/17; 7/5; 6/4; 6/4; 17/10
Cadiz; 15/8; 7/4; 7/4; 17/10; 181/00; 13/8; 7/4; 13/8; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 19/10; 7/4; 9/5; 6/4; 13/8; 7/4; 9/5
Draw; 2; 19/10; 2; 19/10; 109/0; 15/8; 15/8; 15/8; 2; 2; 19/10; 2; 2; 39/19; 2; 39/19; 37/19; 2; 39/19; 19/10; 19/10; 19/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-15 20:22:30 GMT+2; 2018-03-17 19:00; e70300-dr003
Leonesa; 13/8; 13/8; 8/5; 17/10; 181/100; 13/8; 13/8; 8/5; 17/10; 8/5; 13/8; 13/8; 8/5; 8/5; 13/8; 8/5; 28/17; 28/17; 52/35; 28/17; 17/10; 17/10; 28/17; 6/4; 6/4; 6/4; 17/10
Cadiz; 15/8; 17/10; 7/4; 17/10; 181/100; 13/8; 7/4; 8/5; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 19/10; 9/5; 9/5; 13/8; 13/8; 7/4; 9/5
Draw; 2; 2; 19/10; 109/50; 19/10; 15/8; 15/8; 2; 2; 19/10; 2; 2; 39/19; 2; 39/19; 37/19; 2; 21/10; 39/19; 19/10; 19/10; 19/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-16 10:23:04 GMT+2; 2018-03-17 19:00; e70300-dr003
Leonesa; 13/8; 13/8; 8/5; 17/10; 181/100; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 13/8; 8/5; 8/5; 13/8; 8/5; 28/17; 52/35; 28/17; 17/10; 17/10; 28/17; 13/8; 13/8; 17/10; 17/10; 
Cadiz; 15/8; 7/4; 7/4; 17/10; 181/100; 7/4; 7/4; 17/10; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 19/10; 9/5; 24/13; 7/4; 9/5; 9/5; 9/5
Draw; 2; 19/10; 2; 19/10; 109/50; 2; 15/8; 15/8; 2; 2; 19/10; 2; 2; 2; 21/10; 39/19; 37/19; 2; 21/10; 39/19; 19/10; 2; 21/10; ; ; ; 
META; spain/la-liga-segunda/leonesa-v-cadiz; 2018-03-16 16:26:24 GMT+2; 2018-03-17 19:00; e70300-dr003
